,event_info,num_ips,has_multiple_ip_ranges,unique_ip_countries,critical
50,"OSINT - Anatomy of Attack: Inside BazarBackdoor to Ryuk Ransomware ""one"" Group via Cobalt Strike",0,0,0,0.0
51,OSINT - Egregor: The New Ransomware Variant To Watch,2,1,1,0.0
52,OSINT - UNC2452 / SUNBURST @vxunderground OSINT related findings,0,0,0,0.0
53,OSINT Threat Advisory: SolarWinds supply chain attack,0,0,0,0.0
54,Leonardo S.p.A. Data Breach Analysis blog post from Reaqta,0,0,0,0.0
55,OSINT - Hildegard: New TeamTNT Malware Targeting Kubernetes,0,0,0,0.0
56,March 2021 Exchange Server Security Updates for older Cumulative Updates of Exchange Server,0,0,0,0.0
57,OSINT - DearCry ransomware (abusing Exchange Server),0,0,0,0.0
58,FireEye Mandiant PulseSecure Exploitation Countermeasures,0,0,0,0.0
59,Netfilter Rootkit Samples - F. Roth - Google sheet + expansion,0,0,0,0.0
60,Kaseya ransomware attack - indicators and information publicly available,0,0,0,0.0
61,OSINT -  Protecting customers from a private-sector offensive actor using 0-day exploits and DevilsTongue malware,0,0,0,0.0
62,OSINT - NSO related domains,0,0,0,0.0
63,OSINT - Mēris botnet,0,0,0,0.0
64,TinyTurla - Turla deploys new malware to keep a secret backdoor on victim machines,0,0,0,0.0
65,OINT - Hunting the LockBit Gang's Exfiltration Infrastructures,3,1,1,0.0
66,UEFI threats moving to the ESP: Introducing ESPecter bootkit,4,1,1,0.0
67,Compromised host delivering malware (Mirai),0,0,0,0.0
68,HermeticWiper | New Destructive Malware Used In Cyber Attacks on Ukraine,0,0,0,0.0
69,HermeticWiper,0,0,0,0.0
70,TraderTraitor: North Korean State-Sponsored APT Targets Blockchain Companies,0,0,0,0.0
71,Sample Linux miner - XMring,0,0,0,0.0
72,OSINT - First Exploitation of Follina Seen in the Wild,0,0,0,0.0
73,#StopRansomware: MedusaLocker,0,0,0,0.0
74,[TLP:WHITE] Joint CSA: North Korean State-Sponsored Cyber Actors Use Maui Ransomware to Target the Healthcare and Public Health Sector,0,0,0,0.0
75,Github Repo Compromise Domain MyJino RU,0,0,0,0.0
76,Brazil malspam pushes Astaroth (Guildma) malware,0,0,0,0.0
77,Remcos RAT New TTPS – Detection & Response,2,1,1,0.0
78,[OSINT] No Honor Among Thieves - Prynt Stealer’s Backdoor Exposed,0,0,0,0.0
79,Prynt Stealer Spotted In the Wild - A New Info Stealer Performing Clipper And Keylogger Activities,0,0,0,0.0
80,Charting TA2541's Flight,0,0,0,0.0
81,OSINT - Fortinet says SSL-VPN pre-auth RCE bug is exploited in attacks,7,1,1,0.0
82,OSINT - Godfather Trojan IOCs,3,1,1,0.0
83,Analysis of FG-IR-22-398 – FortiOS - heap-based buffer overflow in SSLVPNd,19,1,1,0.0
84,"SNOWYAMBER, HALFRIG, QUARTERRIG - IoC Reference",3,1,1,0.0
85,SNOWYAMBER - Malware Analysis Report,0,0,0,0.0
86,HALFRIG - Malware Analysis Report,0,0,0,0.0
87,QUARTERRIG - Malware Analysis Report,0,0,0,0.0
88,3CX Software Supply Chain Compromise Initiated by a Prior Software Supply Chain Compromise; Suspected North Korean Actor Responsible,0,0,0,0.0
89,Volt Typhoon targets US critical infrastructure with living-off-the-land techniques,0,0,0,0.0
90,APT43: North Korean Group Uses Cybercrime to Fund Espionage Operations,0,0,0,0.0
91,Chinese Threat Actors Targeting Europe in SmugX Campaign,5,1,1,0.0
92,MoustachedBouncer: Espionage against foreign diplomats in Belarus,0,0,0,0.0
93,Active Exploitation of Two Zero-Day Vulnerabilities in Ivanti Connect Secure VPN,13,1,1,0.0
94,A host (hosted in RU) with only phishing websites,1,0,1,0.0
95,OSINT - KrustyLoader - Rust malware linked to Ivanti ConnectSecure compromises,0,0,0,0.0
96,"OSINT - Cutting Edge, Part 2: Investigating Ivanti Connect Secure VPN Zero-Day Exploitation",8,1,1,0.0
97,OSINT - Ivanti Connect Secure: Journey to the core of the DSLog backdoor,1,0,1,0.0
98,OSINT - Zero-Day Exploitation of Unauthenticated Remote Code Execution Vulnerability in GlobalProtect (CVE-2024-3400),8,1,1,0.0
99,OSINT - Potential abuse by Lazarus group using LinkedIn to spread malware,0,0,0,0.0
100,Lazarus infrastructure (pivot via Censys),6,1,1,0.0
101,OSINT - ArcaneDoor - New espionage-focused campaign found targeting perimeter network devices,0,0,0,0.0
102,OSINT - Kampania APT28 skierowana przeciwko polskim instytucjom rządowym,0,0,0,0.0
103,OSINT of Exchange 0-day campaign (Atos),4,1,1,0.0
104,Microsoft SharePoint Server Remote Code Execution Vulnerability - CVE-2025-53770,6,1,1,0.0
105,OSINT -  Disrupting active exploitation of on-premises SharePoint vulnerabilities,4,1,1,0.0
106,Remtasu obtaining Facebook accounts,0,0,0,0.0
107,Maldoc Cybersecurity in the EU Common Security and Defense Policy,1,0,1,0.0
108,Mofang: A politically motivated information stealing adversary,24,1,1,0.0
109,Group5: Syria and the Iranian Connection,1,0,1,0.0
110,Operation Ghoul: targeted attacks on industrial and engineering organizations,1,0,1,0.0
111,Flash 0 Day In The Wild: Group 123 At The Controls,0,0,0,0.0
112,New VPNFilter malware targets at least 500K networking devices worldwide,13,1,1,0.0
113,Turla: Mosquito Whitepaper,0,0,0,0.0
114,OceanLotus - WateringHole - Framework B 2018,0,0,0,0.0
115,The Norsk Hydro ransomware attack: An in-depth look,0,0,0,0.0
116,Operation ShadowHammer,1,0,1,0.0
117,Technical Analysis and Solution of WebLogic Server (WLS) Component Vulnerability,8,1,1,0.0
118,Malspam pushing Quasar RAT,0,0,0,0.0
119,Dridex Malware - Alert (AA19-339A),13,1,1,0.0
120,This Is Not a Test: APT41 Initiates Global Intrusion Campaign Using Multiple Exploits,3,1,1,0.0
121,Attacks that exploit IE vulnerability (CVE-2020-0674) and Firefox vulnerability (CVE-2019-17026),0,0,0,0.0
122,WildPressure targets industrial-related entities in the Middle East,0,0,0,0.0
123,"Newly uncovered DNS tunnelling technique, and new campaign against South Korean gaming company",0,0,0,0.0
124,From Agent.BTZ to ComRAT v4,0,0,0,0.0
125,OilRig Targets Middle Eastern Telecommunications Organization and Adds Novel C2 Channel with Steganography to Its Inventory,0,0,0,0.0
126,Banco Estado Chile REvil attack,0,0,0,0.0
127,Epic Manchego â€“ atypical maldoc delivery brings flurry of infostealers,0,0,0,0.0
128,Turla Crutch: Keeping the â€œback doorâ€ open,0,0,0,0.0
129,Highly Evasive Attacker Leverages SolarWinds Supply Chain to Compromise Multiple Global Victims With SUNBURST Backdoor,10,1,1,0.0
130,Dark Halo Leverages SolarWinds Compromise to Breach Organizations,51,1,1,0.0
131,ZINC attacks against security researchers,0,0,0,0.0
132,More LodaRAT infrastructure targeting Bangladesh uncovered,6,1,1,0.0
133,HAFNIUM targeting Exchange Servers with 0-day exploits,32,1,1,0.0
134,Shining a Light on DARKSIDE Ransomware Operations,6,1,1,0.0
135,Conti Ransomware,5,1,1,0.0
136,Ransomware Attack Irish on Health Sector,0,0,0,0.0
137,DarkChronicles: the consequences of the Colonial Pipeline attack,0,0,0,0.0
138,Microsoft signed a malicious Netfilter rootkit,2,1,1,0.0
139,Operation â€˜Harvestâ€™: A Deep Dive into a Long-term Campaign,1,0,1,0.0
140,Destructive malware targeting Ukrainian organizations,0,0,0,0.0
141,Cyberattack on fuel supplier causes supply chain disruption,7,1,1,0.0
142,New data wiper malware used in Ukraine,0,0,0,0.0
143,Barco Clickshare themed Emotet,0,0,0,0.0
144,Industroyer2: Industroyer reloaded,0,0,0,0.0
145,CatalanGate Extensive Mercenary Spyware Operation against Catalans Using Pegasus and Candiru,0,0,0,0.0
146,Malware analysis report on SparrowDoor malware,0,0,0,0.0
147,APT34 targets Jordan Government using new Saitama backdoor,0,0,0,0.0
148,Sandworm uses a new version of ArguePatch to attack targets in Ukraine,0,0,0,0.0
149,Lookout Uncovers Android Spyware Deployed in Kazakhstan,8,1,1,0.0
150,Russia’s APT28 uses fear of nuclear war to spread Follina docs in Ukraine,1,0,1,0.0
151,"Symbiote: A New, Nearly-Impossible-to-Detect Linux Threat",0,0,0,0.0
152,Aoqin Dragon | Newly-Discovered Chinese-linked APT Has Been Quietly Spying On Organizations For 10 Years,8,1,1,0.0
153,Return of the Evilnum APT with updated TTPs and new targets,0,0,0,0.0
154,Targeted attack on industrial enterprises and public institutions,6,1,1,0.0
155,Attackers target Ukraine using GoMet backdoor,1,0,1,0.0
156,Back in Black: Unlocking a LockBit 3.0 Ransomware Attack,1,0,1,0.0
157,TA505 Group’s TeslaGun In-Depth Analysis,22,1,1,0.0
158,Chiseling In: Lorenz Ransomware Group Cracks MiVoice And Calls Back For Free,7,1,1,0.0
159,Obama207 QAKBOT (QBOT) infection with Cobalt Strike,4,1,1,0.0
160,"Financially motivated, dangerously activated:  OPERA1ER APT in Africa",11,1,1,0.0
161,Turla: A Galaxy of Opportunity,1,0,1,0.0
162,Alert (AA23-025A) - Protecting Against Malicious Use of Remote Monitoring and Management Software,0,0,0,0.0
163,"Sweet QuaDreams A First Look at Spyware Vendor QuaDream’s Exploits, Victims, and Customers",0,0,0,0.0
164,X_Trader Supply Chain Attack Affects Critical Infrastructure Organizations in U.S. and Europe,0,0,0,0.0
165,Cadet Blizzard emerges as a novel and distinct Russian threat actor,1,0,1,0.0
166,IoT devices and Linux-based systems targeted by OpenSSH trojan campaign,6,1,1,0.0
167,Chinese Threat Actors Targeting Europe in SmugX Campaign,4,1,1,0.0
168,Charming Kitten Updates POWERSTAR with an InterPlanetary Twist,0,0,0,0.0
169,Analysis of Storm-0558 techniques for unauthorized email access,38,1,1,0.0
170,German Embassy Lure: Likely Part of Campaign Against NATO Aligned Ministries of Foreign Affairs,0,0,0,0.0
171,The attack against Danish critical infrastructure,13,1,1,0.0
172,NSPX30: A sophisticated AitM-enabled implant evolving since 2005,0,0,0,0.0
173,"MOD Netherlands uncovers COATHANGER, a stealthy Chinese FortiGate RAT",0,0,0,0.0
174,PRC State-Sponsored Actors Compromise and Maintain Persistent Access to U.S. Critical Infrastructure,2,1,1,0.0
175,When Cats Fly: Suspected Iranian Threat Actor UNC1549 Targets Israeli and Middle East Aerospace and Defense Sectors,0,0,0,0.0
176,APT29 Uses WINELOADER to Target German Political Parties,1,0,1,0.0
177,Malicious activities linked to the Nobelium intrusion set,0,0,0,0.0
178,Impact of FrostyGoop ICS Malware on Connected OT Systems,0,0,0,0.0
179,EastWind campaign: new CloudSorcerer attacks on government organizations in Russia,0,0,0,0.0
180,State-backed attackers and commercial surveillance vendors repeatedly use the same exploits,0,0,0,0.0
181,Secret Blizzard compromising Storm-0156 infrastructure for espionage / Snowblind: The Invisible Hand of Secret Blizzard,44,1,1,0.0
182,More LodaRAT infrastructure targeting Bangladesh uncovered,6,1,2,0.0
183,Additional IPs for Turla/Uroburos from CIRCL Passive SSL,36,1,2,0.0
184,OSINT Dust Storm Campaign Targeting Japanese Critical Infrastructure,47,1,1,0.0
185,OSINT - Turla - Harnessing SSL Certificates Using Infrastructure Chaining,27,1,1,0.0
186,OSINT - A Look Into Fysbis: Sofacyâ€™s Linux Backdoor,1,0,1,0.0
187,OSINT - Packrat: Seven Years of a South American Threat Actor,2,1,1,0.0
188,OSINT - PlugX-Ñ‚ Ó©Ñ€Ñ‚ÑÓ©Ð½ ÑÐ¸ÑÑ‚ÐµÐ¼Ð¸Ð¹Ð³ Ñ†ÑÐ²ÑÑ€Ð»ÑÑ… Ð½ÑŒ,4,1,1,0.0
189,"OSINT - The Connections Between MiniDuke, CosmicDuke and OnionDuke",0,0,0,0.0
190,OSINT APT Bestia used in APT attacks on Polish Government,0,0,0,0.0
191,OSINT - Shifting Tactics: Tracking changes in years-long espionage campaign against Tibetans,0,0,0,0.0
192,OSINT - PowerSniff Malware Used in Macro-based Attacks,0,0,0,0.0
193,OSINT - Malware is being signed with multiple digital certificates to evade detection,1,0,1,0.0
194,OSINT - Taiwan targeted with new cyberespionage back door Trojan,5,1,1,0.0
195,OSINT - Most prevalent Android ransomware in the West arrives in Japan,0,0,0,0.0
196,OSINT - New Poison Ivy RAT Variant Targets Hong Kong Pro-Democracy Activists,0,0,0,0.0
197,OSINT The Ghost Dragon by Cylance,29,1,1,0.0
198,OSINT - TWO BYTES TO $951M (SWIFT payment system abuse),1,0,1,0.0
199,A Detailed Examination of the Siesta Campaign,2,1,1,0.0
200,OSINT - Cyber Heist Attribution,0,0,0,0.0
201,OSINT - Operation Ke3chang Resurfaces With New TidePool Malware,0,0,0,0.0
202,OSINT - CVE-2015-2545: overview of current threats,6,1,1,0.0
203,OSINT - Keep Calm and (Donâ€™t) Enable Macros: A New Threat Actor Targets UAE Dissidents,2,1,1,0.0
204,OSINT - Ð‘Ð°Ð½ÐºÐ¾Ð²ÑÐºÐ¸Ð¹ Ñ‚Ñ€Ð¾ÑÐ½ÐµÑ† Lurk: ÑÐ¿ÐµÑ†Ð¸Ð°Ð»ÑŒÐ½Ð¾ Ð´Ð»Ñ Ð Ð¾ÑÑÐ¸Ð¸ (Banking Trojan Lurk: specially for Russia),0,0,0,0.0
205,OSINT - IRONGATE ICS Malware: Nothing to See Here...Masking Malicious Activity on SCADA Systems,0,0,0,0.0
206,OSINT - Mofang: A politically motivated information stealing adversary,1,0,1,0.0
207,OSINT - PlugX goes to the registry (and India),0,0,0,0.0
208,"OSINT - NetTraveler APT Targets Russian, European Interests",3,1,1,0.0
209,OSINT - Patchwork cyberespionage group expands targets from governments to wide range of industries,2,1,1,0.0
210,OSINT - NANHAISHU RATing the South China Sea,0,0,0,0.0
211,OSINT Group5: Syria and the Iranian Connection by Citizen Lab,1,0,1,0.0
212,Pivot on What's in a server name (on APT28/Sofacy) by ThreatConnect,0,0,0,0.0
213,What's in a server name (on APT28/Sofacy) by ThreatConnect,3,1,1,0.0
214,OSINT DarkHotel samples at WooYun,0,0,0,0.0
215,OSINT H-Worm IOCs from WooYun,0,0,0,0.0
216,OSINT - Rotten Apples: Apple-Like Malicious Phishing Domains by FireEye,0,0,0,0.0
217,OSINT Revealing the Cyber-Kraken (Threat Group 3390 / Emissary Panda) by SecureWorks,25,1,1,0.0
218,OSINT  Musical Chairs: Multi-Year Campaign Involving New Variant of Gh0st Malware by Palo Alto Networks Unit 42,4,1,1,0.0
219,OSINT Potao Express samples from contagiodump,0,0,0,0.0
220,OSINT In Pursuit of Optical Fibers and Troop Intel: Targeted Attack Distributes PlugX in Russia by ProofPoint,2,1,1,0.0
221,OSINT Duuzer back door Trojan targets South Korea to take over computers by Symantec,0,0,0,0.0
222,OSINT Analysis of DHS NCCIC Indicators blog post by Secureworks,4,1,1,0.0
223,OSINT Morpho: Profiting from high-level corporate attacks by Symantec,4,1,1,0.0
224,OSINT The Italian Connection: An analysis of exploit supply chains and digital quartermasters by Shadowserver,9,1,1,0.0
225,OSINT Expansion on hacking team VPS IPs using PassiveTotal by Brandon Dixon,31,1,1,0.0
226,"OSINT ScanBox framework â€“ whoâ€™s affected, and whoâ€™s using it?  by PWC",30,1,1,0.0
227,OSINT Winnti OpSMN new malware RE report by Novetta,0,0,0,0.0
228,OSINT Attacks against Israeli & Palestinian interests by PwC,10,1,1,0.0
229,OSINT Cmstar Downloader: Lurid and Enfalâ€™s New Cousin by Palo Alto Unit 42,0,0,0,0.0
230,OSINT APT28: A Window into Russiaâ€™s Cyber Espionage Operations? blog post by FireEye,1,0,1,0.0
231,OSINT Trend Micro Exposes LURID APT,13,1,1,0.0
232,A deeper look into ScanBox TLP:GREEN report from PWC UK,20,1,1,0.0
233,OSINT Bookworm Trojan: A Model of Modular Architecture by Palo Alto Unit 42,0,0,0,0.0
234,OSINT Tracking MiniDionis: CozyCarâ€™s New Ride Is Related to Seaduke by Unit 42 Palo Alto Networks,3,1,1,0.0
235,OSINT The Rotten Tomato Campaign,0,0,0,0.0
236,OSINT Pay No Attention to the Server Behind the Proxy: Mapping FinFisherâ€™s Continuing Proliferation by Citizen Lab,10,1,1,0.0
237,OSINT Korplug military targeted attacks: Afghanistan & Tajikistan blog post from ESET,0,0,0,0.0
238,OSINT The Path to Mass-Producing Cyber Attacks by FireEye,20,1,1,0.0
239,OSINT Evil Bunny: Suspect #4,32,1,1,0.0
240,OSINT Democracy in Hong Kong Under Attack blog post from Volexity (Steven Adair),19,1,1,0.0
241,OSINT Darkhotelâ€™s attacks in 2015 by Kaspersky,0,0,0,0.0
242,OSINT APT30 detection rules Loki Scanner Yara rules by Florian Roth,0,0,0,0.0
243,OSINT New activity of the Blue Termite APT by AlienVault,0,0,0,0.0
244,OSINT Operation Molerats: Middle East Cyber Attacks Using Poison Ivy by Fire Eye,6,1,1,0.0
245,OSINT A deeper look into ScanBox TLP:WHITE report from PWC UK,10,1,1,0.0
246,OSINT Tibetan Uprising Day Malware Attacks by Citizen Labs,3,1,1,0.0
247,OSINT Adobe Zero-day Used in LadyBoyle Attack blog post by Symantec,0,0,0,0.0
248,OSINT Targeted Attacks against Tibetan and Hong Kong Groups Exploiting CVE-2014-4114 by Citizen Lab,0,0,0,0.0
249,OSINT Babar: espionage software finally found and put under the microscope by gdata,1,0,1,0.0
250,OSINT Targeted Malware Attacks against NGO Linked to Attacks on Burmese Government Websites by Citizen Labs,4,1,1,0.0
251,OSINT The Sofacy plot thickens by PwC,0,0,0,0.0
252,OSINT An In-Depth Look at How Pawn Stormâ€™s Java Zero-Day Was Used by Trend Micro,4,1,1,0.0
253,OSINT Defending the White Elephant by Arbor Networks,0,0,0,0.0
254,OSINT Expansion on Rotten Tomato campaign,0,0,0,0.0
255,OSINT OSX/Pintsized Backdoor Additional Details by Zataz / Eric Romang,0,0,0,0.0
256,OSINT Operation Double Tap from FireEye,5,1,1,0.0
257,OSINT APT Volatile Cedar APT yara rules by Florian Roth,0,0,0,0.0
258,OSINT New Indicators of Compromise for APT Group Nitro Uncovered blog post by Palo Alto Networks,2,1,1,0.0
259,Expansion on OSINT Korplug military targeted attacks: Afghanistan & Tajikistan blog post from ESET by using whois registrant,0,0,0,0.0
260,Expansion on MWI by security researcher,0,0,0,0.0
261,Turla digging using TotalHash,0,0,0,0.0
262,Expansion based on shared nameserver with a lot of Sofacy domains,0,0,0,0.0
263,Expansion based on pDNS + whois from OSINT Roaming tiger by Anton Cherepanov from ESET,21,1,1,0.0
264,Expansion on 596552@qq.com,0,0,0,0.0
265,OSINT Black Energy 2 malware analysis blog post by Joseph Mlodzianowski,20,1,1,0.0
266,OSINT RTF Exploit Installs Italian RAT: uWarrior by Palo Alto,2,1,1,0.0
267,OSINT Emerging Threat Alert - CVE-2014-4114 blog post by Cylance,0,0,0,0.0
268,OSINT EFF Report Operation Manul,19,1,1,0.0
269,OSINT Generic Yara rule to detect PlugX by Jay DiMartino,0,0,0,0.0
270,OSINT - Operation Ghoul: targeted attacks on industrial and engineering organizations,1,0,1,0.0
271,OSINT Snakes in the Satellites: On-going Turla Infrastructure by PassiveTotal,51,1,1,0.0
272,OSINT - Hunting Libyan Scorpions,1,0,1,0.0
273,OSINT - Odinaff: New Trojan used in high level financial attacks,0,0,0,0.0
274,OSINT - Houdiniâ€™s Magic Reappearance,3,1,1,0.0
275,OSINT - PSA: Conference Invite used as a Lure by Operation Lotus Blossom Actors,1,0,1,0.0
276,OSINT - Flying Dragon Eye: Uyghur Themed Threat Activity,5,1,1,0.0
277,"OSINT -  HackingTeam back for your Androids, now extra insecure!",2,1,1,0.0
278,OSINT - New Carbanak / Anunak Attack Methodology,10,1,1,0.0
279,It’s Parliamentary: KeyBoy and the targeting of the Tibetan Community,8,1,1,0.0
280,"OSINT - Windows 10: protection, detection, and response against recent Depriz malware attacks",0,0,0,0.0
281,OSINT - The rise of TeleBots: Analyzing disruptive KillDisk attacks,9,1,1,0.0
282,OSINT - Danger Close: Fancy Bear Tracking of Ukrainian Field Artillery Units,0,0,0,0.0
283,OSINT  - Fancy Bear Source Code,1,0,1,0.0
284,OSINT - Spotlight on Shamoon,1,0,1,0.0
285,"OSINT  - Oops, they did it again: APT Targets Russia and Belarus with ZeroT and PlugX",0,0,0,0.0
286,OSINT - Wikileaks Vault7 JQJSNICKER code leak,0,0,0,0.0
287,OSINT -  Winnti Abuses GitHub for C&C Communications,13,1,1,0.0
288,OSINT - A Mole exposing itself to sunlight Snake: Coming soon in Mac OS X flavour,1,0,1,0.0
289,OSINT -  Player 3 Has Entered the Game: Say Hello to 'WannaCry',14,1,1,0.0
290,OSINT - Alert (TA17-132A) Indicators Associated With WannaCry Ransomware,0,0,0,0.0
291,OSINT - Neo23x0 Yara Rule Set and Sigma Rule Set - WannaCry,0,0,0,0.0
292,OSINT - ShadowPad in corporate networks,0,0,0,0.0
293,OSINT - Turla APT actor refreshes KopiLuwak JavaScript backdoor for use in G20-themed attack,0,0,0,0.0
294,OSINT -  US CERT TA17-293A report - renamed PsExec execution (sigma/SIEM ruleset),0,0,0,0.0
295,OSINT - StrongPity2 spyware replaces FinFisher in MitM campaign â€“ ISP involved?,0,0,0,0.0
296,OSINT -  Repository containting orignal and decompiled files of TRISIS/TRITON/HATMAN malware,0,0,0,0.0
297,OSINT Phantom of the Opaera: New KASPERAGENT Malware Campaign by ThreatConnect,2,1,1,0.0
298,OSINT - Sofacy Attacks Multiple Government Entities,0,0,0,0.0
299,OSINT - New traces of Hacking Team in the wild,14,1,1,0.0
300,OSINT -  Royal APT - APT15 - Related Information from NCC Group Cyber Defense Operations Research,0,0,0,0.0
301,OSINT - Cisco IOS CVE-2018-0171 attack,0,0,0,0.0
302,OSINT - Sednit update: Analysis of Zebrocy,0,0,0,0.0
303,OSINT - Analyzing Operation GhostSecret: Attack Seeks to Steal Data Worldwide,13,1,1,0.0
304,Panda Malware Broadens - F5 Blog,0,0,0,0.0
305,TrickBot pir4 loader config,26,1,1,0.0
306,Wells Fargo Phish,0,0,0,0.0
307,"""TrickBot"" and ""IcedID"" Botnet IOCs",0,0,0,0.0
308,Grand Soft EK domains,0,0,0,0.0
309,One IP hosting multiple phishing domains,1,0,1,0.0
310,"#TrickBot banker updates to group_tag """"tt0002"" version ""1000206""",0,0,0,0.0
311,New Phishing Attacks Abuse Excel Internet Query Files,2,1,1,0.0
312,Sofacy Group’s Parallel Attacks,5,1,1,0.0
313,OSINT - Tick Group Weaponized Secure USB Drives to Target Air-Gapped Critical Systems,0,0,0,0.0
314,bank phishing domains,0,0,0,0.0
315,Blog Post: EMOTET INFECTION WITH ICEDID,1,0,1,0.0
316,Malware with legit company names in metadata,3,1,1,0.0
317,Clipboard CryptoCoin Hijacker,0,0,0,0.0
318,Talos Blog - Smoking Guns - Smoke Loader learned new tricks,20,1,1,0.0
319,"Massive Malvertising Campaign Discovered Attempting 40,000 Infections per Week",0,0,0,0.0
320,Talos Blog: Multiple Cobalt Personality Disorder,0,0,0,0.0
321,OSINT - Attacks on industrial enterprises using RMS and TeamViewer,8,1,1,0.0
322,"RBC Themed Phish, Obfuscated Javascript in .htm attachment",0,0,0,0.0
323,powerpool-malware-exploits-zero-day-vulnerability,1,0,1,0.0
324,Shamoon potential samples,0,0,0,0.0
325,ServHelper and FlawedGrace - New malware introduced by TA505,1,0,1,0.0
326,2019-01-10: North Korea Lazarus Targeting REDBANC,0,0,0,0.0
327,2019-01-21: APT28 Autoit Zebrocy Progression,0,0,0,0.0
328,2019-01-25: Lazarus Pakistan Toolkits,0,0,0,0.0
329,2019-01-22: Emotet->TrickBot,0,0,0,0.0
