,event_info,num_domains,num_ips,num_urls,has_multiple_ip_ranges,unique_ip_countries,avg_domain_entropy,avg_length_of_urls,criticite
45,Locky (2016-03-16),2,8,6,1,1,3.0867786311375927,90.66666666666669,1.0
46,OSINT - AceDeceiver: First iOS Trojan Exploiting Apple DRM Design Flaws to Infect Any iOS Device,3,0,21,0,0,2.321928094887362,118.04761904761904,1.0
49,OSINT - STOP SCANNING MY MACRO,2,0,15,0,0,3.612696642244505,114.33333333333331,1.0
51,OSINT - Petya Ransomware,0,0,3,0,0,0.0,113.0,1.0
52,OSINT - Malware is being signed with multiple digital certificates to evade detection,0,1,4,0,1,0.0,78.75,0.0
53,OSINT - Evolution of SamSa Malware Suggests New Ransomware Tactics In Play,10,0,23,0,0,3.238901256602631,117.04347826086956,1.0
54,OSINT - PETYA Crypto-ransomware Overwrites MBR to Lock Users Out of Their Computers,0,0,4,0,0,0.0,117.5,1.0
55,OSINT - New self-protecting USB trojan able to avoid detection,0,0,6,0,0,0.0,111.83333333333331,1.0
56,OSINT - SURGE IN SPAM CAMPAIGN DELIVERING LOCKY RANSOMWARE DOWNLOADERS,0,4,2,1,1,0.0,97.5,1.0
57,OSINT - McAfee Labs Threat Advisory Ransomware-Locky,4,4,1,1,1,3.509973037038256,148.0,1.0
58,OSINT - Malware Employs PowerShell to Infect Systems,0,1,4,0,1,0.0,93.5,1.0
59,OSINT - TREASUREHUNT: A CUSTOM POS MALWARE TOOL,6,2,18,1,1,3.183609446387159,71.94444444444444,1.0
60,Locky of the day (20160328) -  affid=3,11,6,13,1,1,3.3467614898757856,44.0,1.0
62,OSINT - Taiwan targeted with new cyberespionage back door Trojan,4,5,12,1,1,2.9811755716279267,114.66666666666669,0.0
64,OSINT - Meet Remaiten â€“ a Linux bot on steroids targeting routers and potentially other IoT devices,0,3,45,1,1,0.0,117.31111111111112,1.0
65,Malspam (2016-04-05) - TeslaCrypt,9,18,12,1,1,3.4327969846234705,93.5,1.0
66,Dridex (2016-04-06) - botnet 122,1,23,3,1,1,3.0220552088742005,93.66666666666669,1.0
67,OSINT - Most prevalent Android ransomware in the West arrives in Japan,0,0,23,0,0,0.0,115.82608695652172,0.0
68,Kegotip downloader,0,1,3,0,1,0.0,84.66666666666667,1.0
69,PWS: Win32/Kegotip.C,3,8,1,1,1,3.260022800767315,97.0,1.0
70,Information stealer: Fareit,1,1,5,0,1,3.4182958340544896,97.4,1.0
71,OSINT - Locky: the encryptor taking the world by storm,0,0,1,0,0,0.0,89.0,1.0
72,OSINT - ModPOS: A Framework Lurking in Point-of-Sale System Kernels,0,2,2,1,1,0.0,100.0,1.0
73,OSINT - Locky Ransomware Domains â€“ Followup Analysis Uncovers 130 New Indicators,4,10,1,1,1,3.5823343244344783,82.0,1.0
74,OSINT - Mobile Devices Used to Execute DNS Malware Against Home Routers,0,0,22,0,0,0.0,79.5909090909091,1.0
75,OSINT - New Locky Variant Implements Evasion Techniques,0,0,11,0,0,0.0,114.1818181818182,1.0
76,Rokku Ransomware shows possible link with Chimera,0,0,6,0,0,0.0,109.33333333333331,1.0
77,Dridex (2016-04-12),1,5,8,1,1,3.180832987205441,109.125,1.0
80,OSINT - Retefe is back in town,1,1,4,0,1,2.8453509366224368,101.5,1.0
83,New ransomware,1,1,3,0,1,3.1820058147602133,87.66666666666667,1.0
84,OSINT - New Crypto-Ransomware JIGSAW Plays Nasty Games,1,0,11,0,0,3.2516291673878226,106.63636363636364,1.0
85,OSINT - Your Package Has Been Successfully Encrypted: TeslaCrypt 4.1A and the Malware Attack Chain,0,0,10,0,0,0.0,55.8,1.0
86,"CryptXXX: New Ransomware From the Actors Behind Reveton, Dropping Via Angler",0,2,17,1,1,0.0,100.58823529411764,1.0
87,"OSINT - â€œOperation C-Majorâ€ Actors Also Used Android, BlackBerry Mobile Spyware Against Targets",1,0,9,0,0,3.4182958340544896,119.11111111111111,1.0
88,OSINT - Teaching an old RAT new tricks,2,0,5,0,0,3.3371753411230767,106.6,1.0
89,OSINT - powershell used for spreading trojan.laziok through google docs,0,1,3,0,1,0.0,41.333333333333336,1.0
90,OSINT - New Poison Ivy RAT Variant Targets Hong Kong Pro-Democracy Activists,2,0,6,0,0,3.1219280948873624,118.66666666666669,0.0
91,OSINT The Ghost Dragon by Cylance,11,29,8,1,1,3.239903144603569,97.375,0.0
92,OSINT - TWO BYTES TO $951M (SWIFT payment system abuse),0,1,5,0,1,0.0,106.0,0.0
93,OSINT - New FAREIT Strain Abuses PowerShell,0,0,9,0,0,0.0,115.77777777777776,1.0
95,OSINT - Macro Malware Employs Advanced Obfuscation to Avoid Detection,0,0,3,0,0,0.0,111.0,1.0
97,"OSINT - New Poison Ivy Activity Targeting Myanmar, Asian Countries",5,0,7,0,0,3.3823635539014774,117.0,1.0
100,OSINT - New Downloader for Locky,4,1,14,0,1,3.081896629397809,72.57142857142857,1.0
101,Malspam (2016-04-28) - Locky,13,11,28,1,1,3.1445024429431294,80.60714285714286,1.0
102,Malspam (2016-04-28) - Locky (#2),11,16,42,1,1,3.31281901694734,82.5952380952381,1.0
103,"Malspam (2016-04-28) - #3 (unknown payload, not accessible)",2,0,2,0,0,4.066677073707229,69.0,1.0
104,OSINT - PLATINUM Targeted attacks in South and Southeast Asia,10,5,12,1,1,2.6028794272222204,93.58333333333331,1.0
105,"OSINT -  Over 100,000 South Korean Users Affected by BlackMoon Campaign",0,8,1,1,1,0.0,92.0,1.0
106,OSINT - MULTIGRAIN â€“ Point of Sale Attackers Make an Unhealthy Addition to the Pantry,0,0,2,0,0,0.0,96.0,1.0
108,OSINT - Turbo Twist: Two 64-bit Derusbi Strains Converge,64,0,4,0,0,3.3240235116232606,109.25,1.0
109,Fake scan campaings (20160505 - 20160507) using docm - Dridex,0,3,8,1,1,0.0,61.125,1.0
110,OSINT - New Infostealer Trojan uses Fiddler Proxy & Json.NET,0,0,12,0,0,0.0,79.5,1.0
111,OSINT - Exploring CVE-2015-2545 and its users,9,6,32,1,1,3.096970684978308,116.28125,1.0
112,A Detailed Examination of the Siesta Campaign,33,2,33,1,1,3.151741856305817,114.24242424242424,0.0
113,OSINT - Chinese-language Ransomware Makes An Appearance,0,0,6,0,0,0.0,50.5,1.0
114,OSINT - Cyber Heist Attribution,0,0,1,0,0,0.0,117.0,0.0
115,"OSINT -  Hancitor and Ruckguv Reappear, Updated and With Vawtrak On Deck",0,0,19,0,0,0.0,65.36842105263158,1.0
117,OSINT - Bolek: Leaked Carberp KBot Source Code Complicit in New Phishing Campaigns,15,10,7,1,1,3.53665915582994,93.28571428571428,1.0
118,Locky of the day (20160520),1,1,1,0,1,3.321928094887362,117.0,1.0
119,OSINT - APT Case RUAG Technical Report,0,12,25,1,1,0.0,62.12,0.0
120,OSINT - Operation Ke3chang Resurfaces With New TidePool Malware,1,0,1,0,0,3.238901256602631,107.0,0.0
121,OSINT - Targeted Attacks against Banks in the Middle East,1,0,4,0,0,2.9219280948873623,52.75,1.0
123,OSINT - Looking Into a Cyber-Attack Facilitator in the Netherlands by Trend Micro,68,0,2,0,0,3.370319805049784,114.0,0.0
124,OSINT - Dogspectus Ransomware Analysis,0,0,10,0,0,0.0,50.3,1.0
125,OSINT - New Wekby Attacks Use DNS Requests As Command and Control Mechanism,7,0,12,0,0,3.4734471974956262,107.33333333333331,1.0
127,OSINT - CVE-2015-2545: overview of current threats,6,6,26,1,1,2.9368674237668637,116.07692307692308,0.0
129,Malspam - Locky - 2016-05-26 (.docm),8,6,23,1,1,3.396874445203971,97.17391304347828,1.0
131,Malspam - 2016-05-27 - Locky - .docm,18,15,44,1,1,3.2783468282561934,89.02272727272727,1.0
132,OSINT - Keep Calm and (Donâ€™t) Enable Macros: A New Threat Actor Targets UAE Dissidents,5,2,12,1,1,3.5941144330410424,43.91666666666666,0.0
133,A Universal Windows Bootkit An analysis of the MBR bootkit referred to as â€œHDRootâ€,0,0,3,0,0,0.0,77.33333333333333,1.0
135,OSINT - Ð‘Ð°Ð½ÐºÐ¾Ð²ÑÐºÐ¸Ð¹ Ñ‚Ñ€Ð¾ÑÐ½ÐµÑ† Lurk: ÑÐ¿ÐµÑ†Ð¸Ð°Ð»ÑŒÐ½Ð¾ Ð´Ð»Ñ Ð Ð¾ÑÑÐ¸Ð¸ (Banking Trojan Lurk: specially for Russia),22,0,17,0,0,3.6087353533566695,115.05882352941175,0.0
136,OSINT - IRONGATE ICS Malware: Nothing to See Here...Masking Malicious Activity on SCADA Systems,0,0,9,0,0,0.0,112.66666666666669,0.0
137,"OSINT - CryptXXX Ransomware Learns the Samba, Other New Tricks With Version 3.100",0,1,5,0,1,0.0,116.8,1.0
138,"OSINT - Lame proxychanger, apparently related to a clickfraud botnet.",3,1,25,0,1,3.1847472263418304,94.24,1.0
139,OSINT - LinkedIn information used to spread banking malware in the Netherlands,1,1,3,0,1,3.378783493486176,87.33333333333333,1.0
140,OSINT -  Communications of the Bolek Trojan,3,0,5,0,0,3.6814844480667728,107.4,1.0
141,OSINT - Reverse-engineering DUBNIUM,0,0,16,0,0,0.0,114.8125,1.0
142,OSINT - Mofang: A politically motivated information stealing adversary,19,1,39,0,1,3.3222874577304085,110.51282051282053,0.0
143,OSINT New Sofacy Attacks Against US Government Agency by Palo Alto Unit 42,5,1,6,0,1,3.0597868747731027,115.16666666666669,0.0
144,OSINT - Setting Sights On Retail: AbaddonPOS Now Targeting Specific POS Software,0,2,8,1,1,0.0,85.25,1.0
145,OSINT - PlugX goes to the registry (and India),12,0,16,0,0,3.0077590366305405,116.3125,0.0
146,Malspam (2016-06-22) - .js in .zip - Locky is back,48,46,49,1,1,3.219184509385038,30.73469387755102,1.0
147,OSINT - The Curious Case of an Unknown Trojan Targeting German-Speaking Users,31,0,8,0,0,3.434368576157901,115.625,1.0
149,Malspam 2016-06-24 (Locky),17,25,29,1,1,3.227149029192256,35.51724137931034,1.0
150,"OSINT - Doh! New ""Bart"" Ransomware from Threat Actors Spreading Dridex and Locky",0,0,8,0,0,0.0,88.0,1.0
151,Malspam 2016-06-27,30,35,37,1,1,3.3370826890655634,33.054054054054056,1.0
152,Malspam 2016-06-28 (Locky campaign subject: 'Updated'),25,31,32,1,1,3.3306072436629317,33.03125,1.0
153,OSINT - Retefe banking Trojan targets UK banking customers,0,0,6,0,0,0.0,109.66666666666669,1.0
154,OSINT - Linux/GafGyt - DVR devices compromised/infected,0,5,20,1,1,0.0,104.95,1.0
155,Malspam 2016-06-28 (Locky campaign subject: 'report'),26,32,44,1,1,3.2166759357392847,31.068181818181817,1.0
157,Malspam 2016-06-29 (campaign subject: 'new invoice'),17,41,5,1,1,3.1095993458306683,36.0,1.0
158,OSINT - Prince of Persia â€“ Game Over,67,6,2,1,1,3.3407411873987694,101.0,1.0
159,Malspam 2016-06-29 (campaign subject: 'Financial report'),12,30,6,1,1,3.1062519655905585,35.5,1.0
160,Malspam 2016-06-30 (campaign subject: 'Documents copies'),35,28,46,1,1,3.0109557334027626,34.04347826086956,1.0
161,OSINT - Satana ransomware â€“ threat coming soon?,0,0,3,0,0,0.0,102.0,1.0
162,OSINT - Apocalypse: Ransomware which targets companies through insecure RDP,0,0,2,0,0,0.0,110.0,1.0
164,"Malspam 2016-07-04 (testrun, subject 'Scanned image'), .docm",1,1,1,0,1,3.840402546702505,46.0,1.0
165,"Malspam 2016-07-05 (subject 'Scanned image'), .docm",6,6,6,1,1,3.4478787132163835,33.166666666666664,1.0
167,OSINT - The Dropping Elephant â€“ aggressive cyber-espionage in the Asian region,5,0,26,0,0,2.5834092389567,58.65384615384615,1.0
168,"OSINT - NetTraveler APT Targets Russian, European Interests",6,3,17,1,1,3.068511894057597,98.88235294117646,0.0
169,Malspam 2016-07-13 (Locky campaign 'Profile'),37,32,44,1,1,3.2213413007073863,30.113636363636363,1.0
170,Malspam 2016-07-12 (Locky campaign 'Fw:'),44,40,45,1,1,3.21249341475972,29.55555555555556,1.0
171,Malspam 2016-07-13 .wsf campaign,5,5,5,1,1,3.438515281434365,29.0,1.0
172,Malspam 2016-07-14 .wsf campaign,24,24,24,1,1,3.3197479175060303,31.20833333333333,1.0
173,Malspam 2016-07-15 .zip/.jse,0,2,1,1,1,0.0,36.0,1.0
174,"Malspam 2016-07-18 .wsf (campaign: ""bank account report"")",20,20,20,1,1,3.4323855244680685,30.5,1.0
175,"Malspam 2016-07-18 .wsf->.gif (campaign: ""RE: firstname.lastname"")",0,1,2,0,1,0.0,77.5,1.0
176,"Malspam 2016-07-18 .wsf (campaign: ""company database"")",16,16,16,1,1,3.3454936612296238,29.0,1.0
177,"Malspam 2016-07-19 .wsf (campaign: ""new invoice"")",16,16,49,1,1,3.167275230898181,30.551020408163264,1.0
178,"Malspam 2016-07-19 .docm (campaign: ""Documents from work"")",1,1,1,0,1,3.095795255000934,25.0,1.0
179,"Malspam 2016-07-21 .wsf (campaign: ""fixed invoice"")",18,18,19,1,1,3.127378291981785,31.210526315789476,1.0
180,"Malspam 2016-07-22 .js in .zip with embedded Locky (campaign: ""Financial statement"")",0,4,6,1,1,0.0,66.66666666666667,1.0
181,"OSINT - Kovter becomes almost file-less, creates a new file type, and gets some new certificates",0,0,13,0,0,0.0,101.23076923076924,1.0
182,OSINT - Patchwork cyberespionage group expands targets from governments to wide range of industries,19,2,32,1,1,3.253599149526625,117.03125,0.0
183,Guccifer 2.0: All Roads Lead to Russia - Threatconnect report,2,7,1,1,1,3.2743542474642435,63.0,0.0
184,OSINT - The Mad Max DGA,144,1,2,0,1,3.5244159080553974,85.0,1.0
185,OSINT - LuminosityLink RAT,1,1,2,0,1,2.5032583347756456,111.0,1.0
186,OSINT - NANHAISHU RATing the South China Sea,10,0,6,0,0,1.8669925001442311,106.66666666666669,0.0
187,OSINT - Strider: Cyberespionage group turns eye of Sauron on targets,3,0,17,0,0,3.1407564160235584,87.88235294117646,1.0
188,OSINT - ProjectSauron: top level cyber-espionage platform covertly extracts encrypted government comms,5,6,15,1,1,3.3032758686368253,99.6,0.0
189,OSINT Group5: Syria and the Iranian Connection by Citizen Lab,0,1,6,0,1,0.0,104.83333333333331,0.0
191,OSINT Massive AdGholas Malvertising Campaigns Use Steganography and File Whitelisting to Hide in Plain Sight by ProofPoint,37,31,1,1,1,3.3025158389409186,152.0,1.0
193,OSINT Lost your iPhone? Be on guard for a perfectly-timed Apple ID phishing attack by Hot For Security,1,0,1,0,0,3.684560814286289,122.0,1.0
194,Expansion on OSINT Lost your iPhone? Be on guard for a perfectly-timed Apple ID phishing attack by Hot For Security,24,2,4,1,1,3.520005583485828,53.0,1.0
195,Pivot on What's in a server name (on APT28/Sofacy) by ThreatConnect,73,0,1,0,0,3.385982910930969,49.0,0.0
196,What's in a server name (on APT28/Sofacy) by ThreatConnect,60,3,1,1,1,3.3852880211037184,49.0,0.0
197,OSINT DarkHotel samples at WooYun,2,0,1,0,0,3.602365163368134,36.0,0.0
198,OSINT H-Worm IOCs from WooYun,50,0,1,0,0,3.0032737264741733,36.0,0.0
199,OSINT Threat Group-4127 Targets Google Accounts by Secureworks,2,0,1,0,0,3.3482359449971693,78.0,0.0
201,OSINT Microsoft Office Zero-Day CVE-2015-2424 Leveraged By Tsar Team report by iSight,3,1,2,0,1,3.043900141023683,109.5,0.0
202,OSINT - Rotten Apples: Apple-Like Malicious Phishing Domains by FireEye,98,0,1,0,0,3.8924183930400793,77.0,0.0
203,"OSINT - FBI MSIL/Samas.A Ransomware Flash Alerts (FBI Flash Alert MC-000068-MW, February 18, 2016  & FBI Flash Alert MC-000070-MW, March 25, 2016)",0,0,44,0,0,0.0,114.20454545454544,1.0
207,OSINT Angler Exploit Kit Utilizing 302 Cushioning and Domain Shadowing by Zscaler,4500,0,5,0,0,3.552916518888697,73.8,1.0
220,OSINT Pony Up: Tracing Ponyâ€™s Threat Cycle and Multi-Stage Infection Chain by Damballa,186,87,44,1,1,3.4046789110232565,112.0,1.0
228,OSINT Revealing the Cyber-Kraken (Threat Group 3390 / Emissary Panda) by SecureWorks,77,25,2,1,1,3.3356234105051445,94.5,0.0
229,OSINT Evolution of the Nuclear Exploit Kit by Cisco Talos group,189,0,3,0,0,2.776236588646985,72.0,1.0
230,OSINT  Musical Chairs: Multi-Year Campaign Involving New Variant of Gh0st Malware by Palo Alto Networks Unit 42,2,4,49,1,1,3.409672469995536,117.16326530612244,0.0
231,OSINT Additional indicators relating to Sofacy (APT28) phishing blog post by PWC,205,0,2,0,0,3.3433999287865315,95.5,1.0
232,OSINT Potao Express samples from contagiodump,0,0,1,0,0,0.0,66.0,0.0
233,OSINT Systematic cyber attacks against Israeli and Palestinian targets going on for a year by Norman,26,0,38,0,0,3.0031113024552623,116.42105263157896,1.0
234,OSINT In Pursuit of Optical Fibers and Troop Intel: Targeted Attack Distributes PlugX in Russia by ProofPoint,16,2,35,1,1,3.21032306894651,115.51428571428572,0.0
235,OSINT Regin samples shared by VirusShare,0,0,3,0,0,0.0,45.0,0.0
236,OSINT YiSpecter: First iOS Malware That Attacks Non-jailbroken Apple iOS Devices by Abusing Private APIs by Palo Alto Networks Unit 42,9,0,40,0,0,2.725480556997868,117.525,1.0
237,Secret Malware in European Union Attack Linked to U.S. and British Intelligence article by the Intercept,0,0,1,0,0,0.0,85.0,0.0
238,OSINT Trojan.Win32.Banker.NWT by AlienVault and Telus,5,0,41,0,0,3.335623034873362,105.48780487804878,1.0
239,OSINT Duuzer back door Trojan targets South Korea to take over computers by Symantec,0,0,33,0,0,0.0,116.51515151515152,0.0
240,OSINT Analysis of DHS NCCIC Indicators blog post by Secureworks,6,4,1,1,1,2.9805260246312497,94.0,0.0
242,OSINT Morpho: Profiting from high-level corporate attacks by Symantec,8,4,23,1,1,3.5008470231325943,116.2608695652174,0.0
243,OSINT The Italian Connection: An analysis of exploit supply chains and digital quartermasters by Shadowserver,23,9,6,1,1,3.1300512848790083,65.16666666666667,0.0
244,OSINT Expansion on hacking team VPS IPs using PassiveTotal by Brandon Dixon,101,31,1,1,1,3.280330054024236,40.0,0.0
245,OSINT - Case Study of Malicious Actors: Going Postal by CERT.pl,77,6,14,1,1,3.45414145131651,104.64285714285714,1.0
246,"OSINT ScanBox framework â€“ whoâ€™s affected, and whoâ€™s using it?  by PWC",70,30,1,1,1,3.269044879041562,108.0,0.0
247,OSINT Winnti OpSMN new malware RE report by Novetta,0,0,4,0,0,0.0,66.75,0.0
248,OSINT Attacks against Israeli & Palestinian interests by PwC,41,10,2,1,1,3.030578314283432,86.0,0.0
249,OSINT Cmstar Downloader: Lurid and Enfalâ€™s New Cousin by Palo Alto Unit 42,32,0,6,0,0,3.248700924391488,73.0,0.0
250,OSINT IOC from ponmocup malware,53,70,1,1,1,3.375704248724919,76.0,1.0
252,OSINT APT28: A Window into Russiaâ€™s Cyber Espionage Operations? blog post by FireEye,23,1,13,0,1,3.085050485790686,88.53846153846153,0.0
253,OSINT Trend Micro Exposes LURID APT,28,13,8,1,1,3.3154541058765226,40.5,0.0
257,OSINT The Casino Malvertising Campaign by MalwareBytes,0,0,25,0,0,0.0,115.76,1.0
258,OSINT Analysis of KRIPTOVOR: Infostealer+Ransomware by FireEye,5,1,15,0,1,3.340588522345308,40.73333333333333,1.0
259,OSINT OrcaRAT - A whale of a tale blog post by PWC,56,21,1,1,1,3.163084138227891,82.0,1.0
260,OSINT Enterprises Hit by BARTALEX Macro Malware in Recent Spam Outbreak by Trend Micro,0,0,20,0,0,0.0,117.4,1.0
262,FBI Flash Message: MC-000055-BT  EC3/IC4 takedown of the AAEH botnet,87,1,0,0,1,3.443558636519167,0.0,1.0
263,A deeper look into ScanBox TLP:GREEN report from PWC UK,39,20,0,1,1,3.276945170465243,0.0,0.0
264,OSINT Bookworm Trojan: A Model of Modular Architecture by Palo Alto Unit 42,11,0,17,0,0,2.867393244972464,115.94117647058825,0.0
265,"OSINT Fidelis Threat Advisory #1014 ""Bots, Machines, and the Matrix""",1,14,24,1,1,4.011365041826379,36.375,1.0
266,OSINT 'Paying-Days' CryptoWall 3.0 Campaign via Magnitude EK report by malwarefor.me,28,28,26,1,1,3.238429674218892,102.0,1.0
267,OSINT  Threat Spotlight: Spam Served With a Side of Dridex from Cisco Talos,0,8,2,1,1,0.0,56.5,1.0
268,OSINT Tracking MiniDionis: CozyCarâ€™s New Ride Is Related to Seaduke by Unit 42 Palo Alto Networks,10,3,1,1,1,3.3082619330884637,111.0,0.0
269,OSINT Analysis of malcious CHM file by OpenDNS,63,2,4,1,1,3.4216240405424987,96.75,1.0
271,OSINT Dalexis/CTB-Locker malspam campaign by SANS Internet Storm Center,9,7,9,1,1,3.077132104821898,80.11111111111111,1.0
272,OSINT The Rotten Tomato Campaign,19,0,3,0,0,3.225134309080657,78.0,0.0
273,OSINT Introducing HATs: Highly Annoying Threats by BlueCoat,73,0,1,0,0,3.1686348124762964,90.0,1.0
274,OSINT Pay No Attention to the Server Behind the Proxy: Mapping FinFisherâ€™s Continuing Proliferation by Citizen Lab,27,10,12,1,1,3.0792454290903093,101.0,0.0
276,OSINT Korplug military targeted attacks: Afghanistan & Tajikistan blog post from ESET,6,0,1,0,0,3.127321872713541,98.0,0.0
277,OSINT The Path to Mass-Producing Cyber Attacks by FireEye,32,20,6,1,1,2.978500084338348,59.333333333333336,0.0
278,OSINT Evil Bunny: Suspect #4,5,32,8,1,1,3.3240495957605214,50.25,0.0
279,OSINT New Discovery: Ties Between Corebot and Darknet Crypt Service by Damballa,55,2,5,1,1,2.564148319045658,35.6,1.0
281,OSINT Democracy in Hong Kong Under Attack blog post from Volexity (Steven Adair),28,19,8,1,1,3.132739580987241,36.875,0.0
282,OSINT Without a Trace: Fileless Malware Spotted in the Wild by Trend Micro,0,0,1,0,0,0.0,112.0,1.0
283,OSINT Darkhotelâ€™s attacks in 2015 by Kaspersky,0,0,21,0,0,0.0,35.95238095238095,0.0
284,OSINT Cylance SPEAR Team: A Threat Actor Resurfaces from Cylance,29,14,2,1,1,2.8901031671070565,87.0,1.0
286,OSINT Macro documents with XOR Encoded Payloads by PhishMe,0,1,34,0,1,0.0,58.1764705882353,1.0
287,OSINT APT30 detection rules Loki Scanner Yara rules by Florian Roth,0,0,2,0,0,0.0,66.5,0.0
288,OSINT  Analysis of Project Cobra Another extensible framework used by the Uroburosâ€™ actors from Gdata,10,0,2,0,0,3.0214889917018257,61.0,0.0
290,OSINT Additional yara rules for Equation Drug by Florian Roth,0,0,3,0,0,0.0,65.66666666666667,0.0
291,OSINT Expansion on Snake,43,6,0,1,1,2.982794763530048,0.0,0.0
293,OSINT New activity of the Blue Termite APT by AlienVault,0,0,17,0,0,0.0,86.0,0.0
294,OSINT Who's Really Spreading through the Bright Star? by Securelist / Kaspersky,3,0,1,0,0,2.966402672795759,80.0,1.0
295,OSINT 20141029B: Possible RedOctober APT Resurgence from ThreatConnect,0,0,0,0,0,0.0,0.0,0.0
296,OSINT When ELF.BillGates met Windows by Arkoon+Netasq,2,3,10,1,1,2.7377402784989338,112.1,1.0
297,OSINT Operation Molerats: Middle East Cyber Attacks Using Poison Ivy by Fire Eye,5,6,1,1,1,3.012851251158888,119.0,0.0
299,OSINT A deeper look into ScanBox TLP:WHITE report from PWC UK,13,10,3,1,1,3.1709589489564944,60.0,0.0
300,OSINT The Shade Encryptor: a Double Threat by Kaspersky,0,0,4,0,0,0.0,109.5,1.0
301,OSINT Puttering into the Future...by Cylance,20,3,6,1,1,3.270755220518208,105.66666666666669,0.0
302,"OSINT KeyRaider: iOS Malware Steals Over 225,000 Apple Accounts to Create Free App Utopia by Palo Alto Networks Unit 42",2,1,11,0,1,3.1523912776298677,118.45454545454544,1.0
