event_id,event_info,date,threat_level_id,num_domains,num_ips,num_sha256,num_urls,has_malware_hash,has_multiple_ip_ranges,unique_ip_countries,avg_domain_entropy,avg_length_of_urls,critical,clean_text
47,OSINT - AceDeceiver: First iOS Trojan Exploiting Apple DRM Design Flaws to Infect Any iOS Device,2016-03-16,3,3,0,25,21,1,0,0,2.321928094887362,118.04761904761904,1.0,osint acedeceiver first io trojan exploiting apple drm design flaw infect io device
50,OSINT - STOP SCANNING MY MACRO,2016-03-21,3,2,0,14,15,1,0,0,3.612696642244505,114.33333333333331,1.0,osint stop scanning macro
52,OSINT - Petya Ransomware,2016-03-24,3,0,0,3,3,1,0,0,0.0,113.0,1.0,osint petya ransomware
53,OSINT - Malware is being signed with multiple digital certificates to evade detection,2016-03-24,2,0,1,1,4,1,0,1,0.0,78.75,0.0,osint malware signed multiple digital certificate evade detection
54,OSINT - Evolution of SamSa Malware Suggests New Ransomware Tactics In Play,2016-03-24,3,10,0,22,23,1,0,0,3.238901256602631,117.04347826086956,1.0,osint evolution samsa malware suggests new ransomware tactic play
55,OSINT - PETYA Crypto-ransomware Overwrites MBR to Lock Users Out of Their Computers,2016-03-25,3,0,0,3,4,1,0,0,0.0,117.5,1.0,osint petya cryptoransomware overwrites mbr lock user computer
56,OSINT - New self-protecting USB trojan able to avoid detection,2016-03-25,3,0,0,5,6,1,0,0,0.0,111.83333333333331,1.0,osint new selfprotecting usb trojan able avoid detection
57,OSINT - SURGE IN SPAM CAMPAIGN DELIVERING LOCKY RANSOMWARE DOWNLOADERS,2016-03-25,3,0,4,1,2,1,1,1,0.0,97.5,1.0,osint surge spam campaign delivering locky ransomware downloaders
58,OSINT - McAfee Labs Threat Advisory Ransomware-Locky,2016-03-28,3,4,4,0,1,0,1,1,3.509973037038256,148.0,1.0,osint mcafee lab threat advisory ransomwarelocky
59,OSINT - Malware Employs PowerShell to Infect Systems,2016-03-28,3,0,1,2,4,1,0,1,0.0,93.5,1.0,osint malware employ powershell infect system
60,OSINT - TREASUREHUNT: A CUSTOM POS MALWARE TOOL,2016-03-28,3,6,2,8,18,1,1,1,3.183609446387159,71.94444444444444,1.0,osint treasurehunt custom po malware tool
61,Locky of the day (20160328) -  affid=3,2016-03-28,3,11,6,1,13,1,1,1,3.3467614898757856,44.0,1.0,locky day affid
63,OSINT - Taiwan targeted with new cyberespionage back door Trojan,2016-03-30,2,4,5,11,12,1,1,1,2.9811755716279267,114.66666666666669,0.0,osint taiwan targeted new cyberespionage back door trojan
65,OSINT - Meet Remaiten â€“ a Linux bot on steroids targeting routers and potentially other IoT devices,2016-04-04,3,0,3,44,45,1,1,1,0.0,117.31111111111112,1.0,osint meet remaiten linux bot steroid targeting router potentially iot device
66,Malspam (2016-04-05) - TeslaCrypt,2016-04-05,3,9,18,0,12,0,1,1,3.4327969846234705,93.5,1.0,malspam teslacrypt
67,Dridex (2016-04-06) - botnet 122,2016-04-06,3,1,23,0,3,0,1,1,3.0220552088742005,93.66666666666669,1.0,dridex botnet
68,OSINT - Most prevalent Android ransomware in the West arrives in Japan,2016-04-07,2,0,0,22,23,1,0,0,0.0,115.82608695652172,0.0,osint prevalent android ransomware west arrives japan
69,Kegotip downloader,2016-04-07,3,0,1,2,3,1,0,1,0.0,84.66666666666667,1.0,kegotip downloader
70,PWS: Win32/Kegotip.C,2014-10-05,3,3,8,0,1,0,1,1,3.260022800767315,97.0,1.0,pws winkegotipc
71,Information stealer: Fareit,2016-04-07,3,1,1,2,5,1,0,1,3.4182958340544896,97.4,1.0,information stealer fareit
72,OSINT - Locky: the encryptor taking the world by storm,2016-04-08,3,0,0,0,1,0,0,0,0.0,89.0,1.0,osint locky encryptor taking world storm
73,OSINT - ModPOS: A Framework Lurking in Point-of-Sale System Kernels,2016-04-09,3,0,2,1,2,1,1,1,0.0,100.0,1.0,osint modpos framework lurking pointofsale system kernel
74,OSINT - Locky Ransomware Domains â€“ Followup Analysis Uncovers 130 New Indicators,2016-04-11,3,4,10,0,1,0,1,1,3.5823343244344783,82.0,1.0,osint locky ransomware domain followup analysis uncovers new indicator
75,OSINT - Mobile Devices Used to Execute DNS Malware Against Home Routers,2016-04-11,3,0,0,11,22,1,0,0,0.0,79.5909090909091,1.0,osint mobile device used execute dns malware home router
76,OSINT - New Locky Variant Implements Evasion Techniques,2016-04-12,3,0,0,11,11,1,0,0,0.0,114.1818181818182,1.0,osint new locky variant implement evasion technique
77,Rokku Ransomware shows possible link with Chimera,2016-04-12,3,0,0,5,6,1,0,0,0.0,109.33333333333331,1.0,rokku ransomware show possible link chimera
78,Dridex (2016-04-12),2016-04-12,3,1,5,0,8,0,1,1,3.180832987205441,109.125,1.0,dridex
81,OSINT - Retefe is back in town,2016-04-18,3,1,1,3,4,1,0,1,2.8453509366224368,101.5,1.0,osint retefe back town
84,New ransomware,2016-04-20,3,1,1,1,3,1,0,1,3.1820058147602133,87.66666666666667,1.0,new ransomware
85,OSINT - New Crypto-Ransomware JIGSAW Plays Nasty Games,2016-04-19,3,1,0,9,11,1,0,0,3.2516291673878226,106.63636363636364,1.0,osint new cryptoransomware jigsaw play nasty game
86,OSINT - Your Package Has Been Successfully Encrypted: TeslaCrypt 4.1A and the Malware Attack Chain,2016-04-20,3,0,0,0,10,1,0,0,0.0,55.8,1.0,osint package successfully encrypted teslacrypt malware attack chain
87,"CryptXXX: New Ransomware From the Actors Behind Reveton, Dropping Via Angler",2016-04-18,3,0,2,13,17,1,1,1,0.0,100.58823529411764,1.0,cryptxxx new ransomware actor behind reveton dropping via angler
88,"OSINT - â€œOperation C-Majorâ€ Actors Also Used Android, BlackBerry Mobile Spyware Against Targets",2016-04-18,3,1,0,8,9,1,0,0,3.4182958340544896,119.11111111111111,1.0,osint operation cmajor actor also used android blackberry mobile spyware target
89,OSINT - Teaching an old RAT new tricks,2016-04-22,3,2,0,4,5,1,0,0,3.3371753411230767,106.6,1.0,osint teaching old rat new trick
90,OSINT - powershell used for spreading trojan.laziok through google docs,2016-04-22,3,0,1,0,3,0,0,1,0.0,41.333333333333336,1.0,osint powershell used spreading trojanlaziok google doc
91,OSINT - New Poison Ivy RAT Variant Targets Hong Kong Pro-Democracy Activists,2016-04-22,2,2,0,7,6,1,0,0,3.1219280948873624,118.66666666666669,0.0,osint new poison ivy rat variant target hong kong prodemocracy activist
92,OSINT The Ghost Dragon by Cylance,2016-04-22,2,11,29,7,8,1,1,1,3.239903144603569,97.375,0.0,osint ghost dragon cylance
93,OSINT - TWO BYTES TO $951M (SWIFT payment system abuse),2016-04-25,2,0,1,4,5,1,0,1,0.0,106.0,0.0,osint two byte swift payment system abuse
94,OSINT - New FAREIT Strain Abuses PowerShell,2016-04-25,3,0,0,7,9,1,0,0,0.0,115.77777777777776,1.0,osint new fareit strain abuse powershell
96,OSINT - Macro Malware Employs Advanced Obfuscation to Avoid Detection,2016-04-26,3,0,0,2,3,1,0,0,0.0,111.0,1.0,osint macro malware employ advanced obfuscation avoid detection
98,"OSINT - New Poison Ivy Activity Targeting Myanmar, Asian Countries",2016-04-27,3,5,0,7,7,1,0,0,3.3823635539014774,117.0,1.0,osint new poison ivy activity targeting myanmar asian country
101,OSINT - New Downloader for Locky,2016-04-22,3,4,1,7,14,1,0,1,3.081896629397809,72.57142857142857,1.0,osint new downloader locky
102,Malspam (2016-04-28) - Locky,2016-04-28,3,13,11,0,28,0,1,1,3.1445024429431294,80.60714285714286,1.0,malspam locky
103,Malspam (2016-04-28) - Locky (#2),2016-04-28,3,11,16,0,42,0,1,1,3.31281901694734,82.5952380952381,1.0,malspam locky
104,"Malspam (2016-04-28) - #3 (unknown payload, not accessible)",2016-04-28,3,2,0,0,2,0,0,0,4.066677073707229,69.0,1.0,malspam unknown payload accessible
105,OSINT - PLATINUM Targeted attacks in South and Southeast Asia,2016-04-28,3,10,5,5,12,1,1,1,2.6028794272222204,93.58333333333331,1.0,osint platinum targeted attack south southeast asia
106,"OSINT -  Over 100,000 South Korean Users Affected by BlackMoon Campaign",2016-04-29,3,0,8,0,1,1,1,1,0.0,92.0,1.0,osint south korean user affected blackmoon campaign
107,OSINT - MULTIGRAIN â€“ Point of Sale Attackers Make an Unhealthy Addition to the Pantry,2016-04-19,3,0,0,1,2,1,0,0,0.0,96.0,1.0,osint multigrain point sale attacker make unhealthy addition pantry
109,OSINT - Turbo Twist: Two 64-bit Derusbi Strains Converge,2016-05-04,3,64,0,3,4,1,0,0,3.3240235116232606,109.25,1.0,osint turbo twist two bit derusbi strain converge
110,Fake scan campaings (20160505 - 20160507) using docm - Dridex,2016-05-08,3,0,3,3,8,1,1,1,0.0,61.125,1.0,fake scan campaings using docm dridex
111,OSINT - New Infostealer Trojan uses Fiddler Proxy & Json.NET,2016-05-08,3,0,0,6,12,1,0,0,0.0,79.5,1.0,osint new infostealer trojan us fiddler proxy jsonnet
112,OSINT - Exploring CVE-2015-2545 and its users,2016-05-09,3,9,6,31,32,1,1,1,3.096970684978308,116.28125,1.0,osint exploring cve user
113,A Detailed Examination of the Siesta Campaign,2014-05-12,2,33,2,31,33,1,1,1,3.151741856305817,114.24242424242424,0.0,detailed examination siesta campaign
114,OSINT - Chinese-language Ransomware Makes An Appearance,2016-05-12,3,0,0,0,6,1,0,0,0.0,50.5,1.0,osint chineselanguage ransomware make appearance
115,OSINT - Cyber Heist Attribution,2016-05-13,2,0,0,1,1,1,0,0,0.0,117.0,0.0,osint cyber heist attribution
116,"OSINT -  Hancitor and Ruckguv Reappear, Updated and With Vawtrak On Deck",2016-05-16,3,0,0,8,19,1,0,0,0.0,65.36842105263158,1.0,osint hancitor ruckguv reappear updated vawtrak deck
118,OSINT - Bolek: Leaked Carberp KBot Source Code Complicit in New Phishing Campaigns,2016-05-20,3,15,10,4,7,1,1,1,3.53665915582994,93.28571428571428,1.0,osint bolek leaked carberp kbot source code complicit new phishing campaign
119,Locky of the day (20160520),2016-05-23,3,1,1,1,1,1,0,1,3.321928094887362,117.0,1.0,locky day
120,OSINT - APT Case RUAG Technical Report,2016-05-23,1,0,12,0,25,1,1,1,0.0,62.12,0.0,osint apt case ruag technical report
121,OSINT - Operation Ke3chang Resurfaces With New TidePool Malware,2016-05-23,2,1,0,15,1,1,0,0,3.238901256602631,107.0,0.0,osint operation kechang resurfaces new tidepool malware
122,OSINT - Targeted Attacks against Banks in the Middle East,2016-05-24,3,1,0,0,4,0,0,0,2.9219280948873623,52.75,1.0,osint targeted attack bank middle east
124,OSINT - Looking Into a Cyber-Attack Facilitator in the Netherlands by Trend Micro,2016-04-21,1,68,0,0,2,0,0,0,3.370319805049784,114.0,0.0,osint looking cyberattack facilitator netherlands trend micro
125,OSINT - Dogspectus Ransomware Analysis,2016-05-19,3,0,0,1,10,1,0,0,0.0,50.3,1.0,osint dogspectus ransomware analysis
126,OSINT - New Wekby Attacks Use DNS Requests As Command and Control Mechanism,2016-05-25,3,7,0,7,12,1,0,0,3.4734471974956262,107.33333333333331,1.0,osint new wekby attack use dns request command control mechanism
128,OSINT - CVE-2015-2545: overview of current threats,2016-05-25,2,6,6,25,26,1,1,1,2.9368674237668637,116.07692307692308,0.0,osint cve overview current threat
130,Malspam - Locky - 2016-05-26 (.docm),2016-05-26,3,8,6,0,23,0,1,1,3.396874445203971,97.17391304347828,1.0,malspam locky docm
132,Malspam - 2016-05-27 - Locky - .docm,2016-05-27,3,18,15,0,44,0,1,1,3.2783468282561934,89.02272727272727,1.0,malspam locky docm
133,OSINT - Keep Calm and (Donâ€™t) Enable Macros: A New Threat Actor Targets UAE Dissidents,2016-05-30,2,5,2,2,12,1,1,1,3.5941144330410424,43.91666666666666,0.0,osint keep calm dont enable macro new threat actor target uae dissident
134,A Universal Windows Bootkit An analysis of the MBR bootkit referred to as â€œHDRootâ€,2016-06-01,3,0,0,1,3,1,0,0,0.0,77.33333333333333,1.0,universal window bootkit analysis mbr bootkit referred hdroot
136,OSINT - Ð‘Ð°Ð½ÐºÐ¾Ð²ÑÐºÐ¸Ð¹ Ñ‚Ñ€Ð¾ÑÐ½ÐµÑ† Lurk: ÑÐ¿ÐµÑ†Ð¸Ð°Ð»ÑŒÐ½Ð¾ Ð´Ð»Ñ Ð Ð¾ÑÑÐ¸Ð¸ (Banking Trojan Lurk: specially for Russia),2016-06-01,2,22,0,16,17,1,0,0,3.6087353533566695,115.05882352941175,0.0,osint lurk banking trojan lurk specially russia
137,OSINT - IRONGATE ICS Malware: Nothing to See Here...Masking Malicious Activity on SCADA Systems,2016-06-02,2,0,0,8,9,1,0,0,0.0,112.66666666666669,0.0,osint irongate ic malware nothing see heremasking malicious activity scada system
138,"OSINT - CryptXXX Ransomware Learns the Samba, Other New Tricks With Version 3.100",2016-06-06,3,0,1,4,5,1,0,1,0.0,116.8,1.0,osint cryptxxx ransomware learns samba new trick version
139,"OSINT - Lame proxychanger, apparently related to a clickfraud botnet.",2016-06-06,3,3,1,18,25,1,0,1,3.1847472263418304,94.24,1.0,osint lame proxychanger apparently related clickfraud botnet
140,OSINT - LinkedIn information used to spread banking malware in the Netherlands,2016-06-09,3,1,1,1,3,1,0,1,3.378783493486176,87.33333333333333,1.0,osint linkedin information used spread banking malware netherlands
141,OSINT -  Communications of the Bolek Trojan,2016-06-12,3,3,0,4,5,1,0,0,3.6814844480667728,107.4,1.0,osint communication bolek trojan
142,OSINT - Reverse-engineering DUBNIUM,2016-06-12,3,0,0,15,16,1,0,0,0.0,114.8125,1.0,osint reverseengineering dubnium
143,OSINT - Mofang: A politically motivated information stealing adversary,2016-06-14,2,19,1,40,39,1,0,1,3.3222874577304085,110.51282051282053,0.0,osint mofang politically motivated information stealing adversary
144,OSINT New Sofacy Attacks Against US Government Agency by Palo Alto Unit 42,2016-06-15,1,5,1,7,6,1,0,1,3.0597868747731027,115.16666666666669,0.0,osint new sofacy attack government agency palo alto unit
145,OSINT - Setting Sights On Retail: AbaddonPOS Now Targeting Specific POS Software,2016-06-17,3,0,2,4,8,1,1,1,0.0,85.25,1.0,osint setting sight retail abaddonpos targeting specific po software
146,OSINT - PlugX goes to the registry (and India),2015-03-26,2,12,0,15,16,1,0,0,3.0077590366305405,116.3125,0.0,osint plugx go registry india
147,Malspam (2016-06-22) - .js in .zip - Locky is back,2016-06-22,3,48,46,0,49,0,1,1,3.219184509385038,30.73469387755102,1.0,malspam zip locky back
148,OSINT - The Curious Case of an Unknown Trojan Targeting German-Speaking Users,2016-06-22,3,31,0,8,8,1,0,0,3.434368576157901,115.625,1.0,osint curious case unknown trojan targeting germanspeaking user
150,Malspam 2016-06-24 (Locky),2016-06-24,3,17,25,0,29,0,1,1,3.227149029192256,35.51724137931034,1.0,malspam locky
151,"OSINT - Doh! New ""Bart"" Ransomware from Threat Actors Spreading Dridex and Locky",2016-06-27,3,0,0,4,8,1,0,0,0.0,88.0,1.0,osint doh new bart ransomware threat actor spreading dridex locky
152,Malspam 2016-06-27,2016-06-27,3,30,35,0,37,0,1,1,3.3370826890655634,33.054054054054056,1.0,malspam
153,Malspam 2016-06-28 (Locky campaign subject: 'Updated'),2016-06-28,3,25,31,0,32,0,1,1,3.3306072436629317,33.03125,1.0,malspam locky campaign subject updated
154,OSINT - Retefe banking Trojan targets UK banking customers,2016-06-28,3,0,0,5,6,1,0,0,0.0,109.66666666666669,1.0,osint retefe banking trojan target banking customer
155,OSINT - Linux/GafGyt - DVR devices compromised/infected,2016-06-28,3,0,5,15,20,1,1,1,0.0,104.95,1.0,osint linuxgafgyt dvr device compromisedinfected
156,Malspam 2016-06-28 (Locky campaign subject: 'report'),2016-06-28,3,26,32,0,44,0,1,1,3.2166759357392847,31.068181818181817,1.0,malspam locky campaign subject report
158,Malspam 2016-06-29 (campaign subject: 'new invoice'),2016-06-29,3,17,41,0,5,0,1,1,3.1095993458306683,36.0,1.0,malspam campaign subject new invoice
159,OSINT - Prince of Persia â€“ Game Over,2016-06-29,3,67,6,2,2,1,1,1,3.3407411873987694,101.0,1.0,osint prince persia game
160,Malspam 2016-06-29 (campaign subject: 'Financial report'),2016-06-29,3,12,30,0,6,0,1,1,3.1062519655905585,35.5,1.0,malspam campaign subject financial report
161,Malspam 2016-06-30 (campaign subject: 'Documents copies'),2016-06-30,3,35,28,0,46,0,1,1,3.0109557334027626,34.04347826086956,1.0,malspam campaign subject document copy
162,OSINT - Satana ransomware â€“ threat coming soon?,2016-06-30,3,0,0,2,3,1,0,0,0.0,102.0,1.0,osint satana ransomware threat coming soon
163,OSINT - Apocalypse: Ransomware which targets companies through insecure RDP,2016-06-30,3,0,0,1,2,1,0,0,0.0,110.0,1.0,osint apocalypse ransomware target company insecure rdp
165,"Malspam 2016-07-04 (testrun, subject 'Scanned image'), .docm",2016-07-04,3,1,1,0,1,0,0,1,3.840402546702505,46.0,1.0,malspam testrun subject scanned image docm
166,"Malspam 2016-07-05 (subject 'Scanned image'), .docm",2016-07-05,3,6,6,0,6,0,1,1,3.4478787132163835,33.166666666666664,1.0,malspam subject scanned image docm
168,OSINT - The Dropping Elephant â€“ aggressive cyber-espionage in the Asian region,2016-07-10,3,5,0,9,26,1,0,0,2.5834092389567,58.65384615384615,1.0,osint dropping elephant aggressive cyberespionage asian region
169,"OSINT - NetTraveler APT Targets Russian, European Interests",2016-07-12,2,6,3,11,17,1,1,1,3.068511894057597,98.88235294117646,0.0,osint nettraveler apt target russian european interest
170,Malspam 2016-07-13 (Locky campaign 'Profile'),2016-07-13,3,37,32,0,44,0,1,1,3.2213413007073863,30.113636363636363,1.0,malspam locky campaign profile
171,Malspam 2016-07-12 (Locky campaign 'Fw:'),2016-07-13,3,44,40,0,45,0,1,1,3.21249341475972,29.55555555555556,1.0,malspam locky campaign
172,Malspam 2016-07-13 .wsf campaign,2016-07-13,3,5,5,0,5,0,1,1,3.438515281434365,29.0,1.0,malspam wsf campaign
173,Malspam 2016-07-14 .wsf campaign,2016-07-14,3,24,24,0,24,0,1,1,3.3197479175060303,31.20833333333333,1.0,malspam wsf campaign
174,Malspam 2016-07-15 .zip/.jse,2016-07-15,3,0,2,0,1,0,1,1,0.0,36.0,1.0,malspam zipjse
175,"Malspam 2016-07-18 .wsf (campaign: ""bank account report"")",2016-07-18,3,20,20,0,20,0,1,1,3.4323855244680685,30.5,1.0,malspam wsf campaign bank account report
176,"Malspam 2016-07-18 .wsf->.gif (campaign: ""RE: firstname.lastname"")",2016-07-18,3,0,1,0,2,0,0,1,0.0,77.5,1.0,malspam wsfgif campaign firstnamelastname
177,"Malspam 2016-07-18 .wsf (campaign: ""company database"")",2016-07-18,3,16,16,0,16,0,1,1,3.3454936612296238,29.0,1.0,malspam wsf campaign company database
178,"Malspam 2016-07-19 .wsf (campaign: ""new invoice"")",2016-07-19,3,16,16,0,49,0,1,1,3.167275230898181,30.551020408163264,1.0,malspam wsf campaign new invoice
179,"Malspam 2016-07-19 .docm (campaign: ""Documents from work"")",2016-07-19,3,1,1,0,1,0,0,1,3.095795255000934,25.0,1.0,malspam docm campaign document work
180,"Malspam 2016-07-21 .wsf (campaign: ""fixed invoice"")",2016-07-21,3,18,18,0,19,0,1,1,3.127378291981785,31.210526315789476,1.0,malspam wsf campaign fixed invoice
181,"Malspam 2016-07-22 .js in .zip with embedded Locky (campaign: ""Financial statement"")",2016-07-22,3,0,4,0,6,0,1,1,0.0,66.66666666666667,1.0,malspam zip embedded locky campaign financial statement
182,"OSINT - Kovter becomes almost file-less, creates a new file type, and gets some new certificates",2016-07-23,3,0,0,4,13,1,0,0,0.0,101.23076923076924,1.0,osint kovter becomes almost fileless creates new file type get new certificate
183,OSINT - Patchwork cyberespionage group expands targets from governments to wide range of industries,2016-07-26,2,19,2,31,32,1,1,1,3.253599149526625,117.03125,0.0,osint patchwork cyberespionage group expands target government wide range industry
184,Guccifer 2.0: All Roads Lead to Russia - Threatconnect report,2016-07-26,1,2,7,0,1,0,1,1,3.2743542474642435,63.0,0.0,guccifer road lead russia threatconnect report
185,OSINT - The Mad Max DGA,2016-07-28,3,144,1,1,2,1,0,1,3.5244159080553974,85.0,1.0,osint mad max dga
186,OSINT - LuminosityLink RAT,2016-08-02,3,1,1,1,2,1,0,1,2.5032583347756456,111.0,1.0,osint luminositylink rat
187,OSINT - NANHAISHU RATing the South China Sea,2016-08-04,2,10,0,4,6,1,0,0,1.8669925001442311,106.66666666666669,0.0,osint nanhaishu rating south china sea
188,OSINT - Strider: Cyberespionage group turns eye of Sauron on targets,2016-08-08,3,3,0,10,17,1,0,0,3.1407564160235584,87.88235294117646,1.0,osint strider cyberespionage group turn eye sauron target
189,OSINT - ProjectSauron: top level cyber-espionage platform covertly extracts encrypted government comms,2016-08-08,1,5,6,10,15,1,1,1,3.3032758686368253,99.6,0.0,osint projectsauron top level cyberespionage platform covertly extract encrypted government comms
190,OSINT Group5: Syria and the Iranian Connection by Citizen Lab,2016-08-08,2,0,1,7,6,1,0,1,0.0,104.83333333333331,0.0,osint group syria iranian connection citizen lab
192,OSINT Massive AdGholas Malvertising Campaigns Use Steganography and File Whitelisting to Hide in Plain Sight by ProofPoint,2016-07-28,3,37,31,12,1,1,1,1,3.3025158389409186,152.0,1.0,osint massive adgholas malvertising campaign use steganography file whitelisting hide plain sight proofpoint
194,OSINT Lost your iPhone? Be on guard for a perfectly-timed Apple ID phishing attack by Hot For Security,2016-08-08,3,1,0,0,1,0,0,0,3.684560814286289,122.0,1.0,osint lost iphone guard perfectlytimed apple phishing attack hot security
195,Expansion on OSINT Lost your iPhone? Be on guard for a perfectly-timed Apple ID phishing attack by Hot For Security,2016-08-08,3,24,2,0,4,0,1,1,3.520005583485828,53.0,1.0,expansion osint lost iphone guard perfectlytimed apple phishing attack hot security
