,event_info,threat_level_id,num_ips,has_multiple_ip_ranges,unique_ip_countries,criticite
74,OSINT - Mobile Devices Used to Execute DNS Malware Against Home Routers,3,0,0,0,1.0
75,OSINT - New Locky Variant Implements Evasion Techniques,3,0,0,0,1.0
76,Rokku Ransomware shows possible link with Chimera,3,0,0,0,1.0
77,Dridex (2016-04-12),3,5,1,1,1.0
80,OSINT - Retefe is back in town,3,1,0,1,1.0
83,New ransomware,3,1,0,1,1.0
84,OSINT - New Crypto-Ransomware JIGSAW Plays Nasty Games,3,0,0,0,1.0
85,OSINT - Your Package Has Been Successfully Encrypted: TeslaCrypt 4.1A and the Malware Attack Chain,3,0,0,0,1.0
86,"CryptXXX: New Ransomware From the Actors Behind Reveton, Dropping Via Angler",3,2,1,1,1.0
87,"OSINT - â€œOperation C-Majorâ€ Actors Also Used Android, BlackBerry Mobile Spyware Against Targets",3,0,0,0,1.0
88,OSINT - Teaching an old RAT new tricks,3,0,0,0,1.0
89,OSINT - powershell used for spreading trojan.laziok through google docs,3,1,0,1,1.0
90,OSINT - New Poison Ivy RAT Variant Targets Hong Kong Pro-Democracy Activists,2,0,0,0,0.0
91,OSINT The Ghost Dragon by Cylance,2,29,1,1,0.0
92,OSINT - TWO BYTES TO $951M (SWIFT payment system abuse),2,1,0,1,0.0
93,OSINT - New FAREIT Strain Abuses PowerShell,3,0,0,0,1.0
95,OSINT - Macro Malware Employs Advanced Obfuscation to Avoid Detection,3,0,0,0,1.0
97,"OSINT - New Poison Ivy Activity Targeting Myanmar, Asian Countries",3,0,0,0,1.0
100,OSINT - New Downloader for Locky,3,1,0,1,1.0
101,Malspam (2016-04-28) - Locky,3,11,1,1,1.0
102,Malspam (2016-04-28) - Locky (#2),3,16,1,1,1.0
103,"Malspam (2016-04-28) - #3 (unknown payload, not accessible)",3,0,0,0,1.0
104,OSINT - PLATINUM Targeted attacks in South and Southeast Asia,3,5,1,1,1.0
105,"OSINT -  Over 100,000 South Korean Users Affected by BlackMoon Campaign",3,8,1,1,1.0
106,OSINT - MULTIGRAIN â€“ Point of Sale Attackers Make an Unhealthy Addition to the Pantry,3,0,0,0,1.0
108,OSINT - Turbo Twist: Two 64-bit Derusbi Strains Converge,3,0,0,0,1.0
109,Fake scan campaings (20160505 - 20160507) using docm - Dridex,3,3,1,1,1.0
110,OSINT - New Infostealer Trojan uses Fiddler Proxy & Json.NET,3,0,0,0,1.0
111,OSINT - Exploring CVE-2015-2545 and its users,3,6,1,1,1.0
112,A Detailed Examination of the Siesta Campaign,2,2,1,1,0.0
113,OSINT - Chinese-language Ransomware Makes An Appearance,3,0,0,0,1.0
114,OSINT - Cyber Heist Attribution,2,0,0,0,0.0
115,"OSINT -  Hancitor and Ruckguv Reappear, Updated and With Vawtrak On Deck",3,0,0,0,1.0
117,OSINT - Bolek: Leaked Carberp KBot Source Code Complicit in New Phishing Campaigns,3,10,1,1,1.0
118,Locky of the day (20160520),3,1,0,1,1.0
119,OSINT - APT Case RUAG Technical Report,1,12,1,1,0.0
120,OSINT - Operation Ke3chang Resurfaces With New TidePool Malware,2,0,0,0,0.0
121,OSINT - Targeted Attacks against Banks in the Middle East,3,0,0,0,1.0
123,OSINT - Looking Into a Cyber-Attack Facilitator in the Netherlands by Trend Micro,1,0,0,0,0.0
124,OSINT - Dogspectus Ransomware Analysis,3,0,0,0,1.0
125,OSINT - New Wekby Attacks Use DNS Requests As Command and Control Mechanism,3,0,0,0,1.0
127,OSINT - CVE-2015-2545: overview of current threats,2,6,1,1,0.0
129,Malspam - Locky - 2016-05-26 (.docm),3,6,1,1,1.0
131,Malspam - 2016-05-27 - Locky - .docm,3,15,1,1,1.0
132,OSINT - Keep Calm and (Donâ€™t) Enable Macros: A New Threat Actor Targets UAE Dissidents,2,2,1,1,0.0
133,A Universal Windows Bootkit An analysis of the MBR bootkit referred to as â€œHDRootâ€,3,0,0,0,1.0
135,OSINT - Ð‘Ð°Ð½ÐºÐ¾Ð²ÑÐºÐ¸Ð¹ Ñ‚Ñ€Ð¾ÑÐ½ÐµÑ† Lurk: ÑÐ¿ÐµÑ†Ð¸Ð°Ð»ÑŒÐ½Ð¾ Ð´Ð»Ñ Ð Ð¾ÑÑÐ¸Ð¸ (Banking Trojan Lurk: specially for Russia),2,0,0,0,0.0
136,OSINT - IRONGATE ICS Malware: Nothing to See Here...Masking Malicious Activity on SCADA Systems,2,0,0,0,0.0
137,"OSINT - CryptXXX Ransomware Learns the Samba, Other New Tricks With Version 3.100",3,1,0,1,1.0
138,"OSINT - Lame proxychanger, apparently related to a clickfraud botnet.",3,1,0,1,1.0
139,OSINT - LinkedIn information used to spread banking malware in the Netherlands,3,1,0,1,1.0
140,OSINT -  Communications of the Bolek Trojan,3,0,0,0,1.0
141,OSINT - Reverse-engineering DUBNIUM,3,0,0,0,1.0
142,OSINT - Mofang: A politically motivated information stealing adversary,2,1,0,1,0.0
143,OSINT New Sofacy Attacks Against US Government Agency by Palo Alto Unit 42,1,1,0,1,0.0
144,OSINT - Setting Sights On Retail: AbaddonPOS Now Targeting Specific POS Software,3,2,1,1,1.0
145,OSINT - PlugX goes to the registry (and India),2,0,0,0,0.0
146,Malspam (2016-06-22) - .js in .zip - Locky is back,3,46,1,1,1.0
147,OSINT - The Curious Case of an Unknown Trojan Targeting German-Speaking Users,3,0,0,0,1.0
149,Malspam 2016-06-24 (Locky),3,25,1,1,1.0
150,"OSINT - Doh! New ""Bart"" Ransomware from Threat Actors Spreading Dridex and Locky",3,0,0,0,1.0
151,Malspam 2016-06-27,3,35,1,1,1.0
152,Malspam 2016-06-28 (Locky campaign subject: 'Updated'),3,31,1,1,1.0
153,OSINT - Retefe banking Trojan targets UK banking customers,3,0,0,0,1.0
154,OSINT - Linux/GafGyt - DVR devices compromised/infected,3,5,1,1,1.0
155,Malspam 2016-06-28 (Locky campaign subject: 'report'),3,32,1,1,1.0
157,Malspam 2016-06-29 (campaign subject: 'new invoice'),3,41,1,1,1.0
158,OSINT - Prince of Persia â€“ Game Over,3,6,1,1,1.0
159,Malspam 2016-06-29 (campaign subject: 'Financial report'),3,30,1,1,1.0
160,Malspam 2016-06-30 (campaign subject: 'Documents copies'),3,28,1,1,1.0
161,OSINT - Satana ransomware â€“ threat coming soon?,3,0,0,0,1.0
162,OSINT - Apocalypse: Ransomware which targets companies through insecure RDP,3,0,0,0,1.0
164,"Malspam 2016-07-04 (testrun, subject 'Scanned image'), .docm",3,1,0,1,1.0
165,"Malspam 2016-07-05 (subject 'Scanned image'), .docm",3,6,1,1,1.0
167,OSINT - The Dropping Elephant â€“ aggressive cyber-espionage in the Asian region,3,0,0,0,1.0
168,"OSINT - NetTraveler APT Targets Russian, European Interests",2,3,1,1,0.0
169,Malspam 2016-07-13 (Locky campaign 'Profile'),3,32,1,1,1.0
170,Malspam 2016-07-12 (Locky campaign 'Fw:'),3,40,1,1,1.0
171,Malspam 2016-07-13 .wsf campaign,3,5,1,1,1.0
172,Malspam 2016-07-14 .wsf campaign,3,24,1,1,1.0
173,Malspam 2016-07-15 .zip/.jse,3,2,1,1,1.0
174,"Malspam 2016-07-18 .wsf (campaign: ""bank account report"")",3,20,1,1,1.0
175,"Malspam 2016-07-18 .wsf->.gif (campaign: ""RE: firstname.lastname"")",3,1,0,1,1.0
176,"Malspam 2016-07-18 .wsf (campaign: ""company database"")",3,16,1,1,1.0
177,"Malspam 2016-07-19 .wsf (campaign: ""new invoice"")",3,16,1,1,1.0
178,"Malspam 2016-07-19 .docm (campaign: ""Documents from work"")",3,1,0,1,1.0
179,"Malspam 2016-07-21 .wsf (campaign: ""fixed invoice"")",3,18,1,1,1.0
180,"Malspam 2016-07-22 .js in .zip with embedded Locky (campaign: ""Financial statement"")",3,4,1,1,1.0
181,"OSINT - Kovter becomes almost file-less, creates a new file type, and gets some new certificates",3,0,0,0,1.0
182,OSINT - Patchwork cyberespionage group expands targets from governments to wide range of industries,2,2,1,1,0.0
183,Guccifer 2.0: All Roads Lead to Russia - Threatconnect report,1,7,1,1,0.0
184,OSINT - The Mad Max DGA,3,1,0,1,1.0
185,OSINT - LuminosityLink RAT,3,1,0,1,1.0
186,OSINT - NANHAISHU RATing the South China Sea,2,0,0,0,0.0
187,OSINT - Strider: Cyberespionage group turns eye of Sauron on targets,3,0,0,0,1.0
188,OSINT - ProjectSauron: top level cyber-espionage platform covertly extracts encrypted government comms,1,6,1,1,0.0
189,OSINT Group5: Syria and the Iranian Connection by Citizen Lab,2,1,0,1,0.0
191,OSINT Massive AdGholas Malvertising Campaigns Use Steganography and File Whitelisting to Hide in Plain Sight by ProofPoint,3,31,1,1,1.0
193,OSINT Lost your iPhone? Be on guard for a perfectly-timed Apple ID phishing attack by Hot For Security,3,0,0,0,1.0
194,Expansion on OSINT Lost your iPhone? Be on guard for a perfectly-timed Apple ID phishing attack by Hot For Security,3,2,1,1,1.0
195,Pivot on What's in a server name (on APT28/Sofacy) by ThreatConnect,2,0,0,0,0.0
196,What's in a server name (on APT28/Sofacy) by ThreatConnect,2,3,1,1,0.0
197,OSINT DarkHotel samples at WooYun,2,0,0,0,0.0
198,OSINT H-Worm IOCs from WooYun,2,0,0,0,0.0
199,OSINT Threat Group-4127 Targets Google Accounts by Secureworks,1,0,0,0,0.0
201,OSINT Microsoft Office Zero-Day CVE-2015-2424 Leveraged By Tsar Team report by iSight,1,1,0,1,0.0
202,OSINT - Rotten Apples: Apple-Like Malicious Phishing Domains by FireEye,2,0,0,0,0.0
203,"OSINT - FBI MSIL/Samas.A Ransomware Flash Alerts (FBI Flash Alert MC-000068-MW, February 18, 2016  & FBI Flash Alert MC-000070-MW, March 25, 2016)",3,0,0,0,1.0
207,OSINT Angler Exploit Kit Utilizing 302 Cushioning and Domain Shadowing by Zscaler,3,0,0,0,1.0
220,OSINT Pony Up: Tracing Ponyâ€™s Threat Cycle and Multi-Stage Infection Chain by Damballa,3,87,1,1,1.0
228,OSINT Revealing the Cyber-Kraken (Threat Group 3390 / Emissary Panda) by SecureWorks,2,25,1,1,0.0
229,OSINT Evolution of the Nuclear Exploit Kit by Cisco Talos group,3,0,0,0,1.0
230,OSINT  Musical Chairs: Multi-Year Campaign Involving New Variant of Gh0st Malware by Palo Alto Networks Unit 42,2,4,1,1,0.0
231,OSINT Additional indicators relating to Sofacy (APT28) phishing blog post by PWC,3,0,0,0,1.0
232,OSINT Potao Express samples from contagiodump,2,0,0,0,0.0
233,OSINT Systematic cyber attacks against Israeli and Palestinian targets going on for a year by Norman,3,0,0,0,1.0
234,OSINT In Pursuit of Optical Fibers and Troop Intel: Targeted Attack Distributes PlugX in Russia by ProofPoint,2,2,1,1,0.0
235,OSINT Regin samples shared by VirusShare,1,0,0,0,0.0
236,OSINT YiSpecter: First iOS Malware That Attacks Non-jailbroken Apple iOS Devices by Abusing Private APIs by Palo Alto Networks Unit 42,3,0,0,0,1.0
237,Secret Malware in European Union Attack Linked to U.S. and British Intelligence article by the Intercept,1,0,0,0,0.0
238,OSINT Trojan.Win32.Banker.NWT by AlienVault and Telus,3,0,0,0,1.0
239,OSINT Duuzer back door Trojan targets South Korea to take over computers by Symantec,2,0,0,0,0.0
240,OSINT Analysis of DHS NCCIC Indicators blog post by Secureworks,2,4,1,1,0.0
242,OSINT Morpho: Profiting from high-level corporate attacks by Symantec,2,4,1,1,0.0
243,OSINT The Italian Connection: An analysis of exploit supply chains and digital quartermasters by Shadowserver,2,9,1,1,0.0
244,OSINT Expansion on hacking team VPS IPs using PassiveTotal by Brandon Dixon,2,31,1,1,0.0
245,OSINT - Case Study of Malicious Actors: Going Postal by CERT.pl,3,6,1,1,1.0
246,"OSINT ScanBox framework â€“ whoâ€™s affected, and whoâ€™s using it?  by PWC",2,30,1,1,0.0
247,OSINT Winnti OpSMN new malware RE report by Novetta,2,0,0,0,0.0
248,OSINT Attacks against Israeli & Palestinian interests by PwC,2,10,1,1,0.0
249,OSINT Cmstar Downloader: Lurid and Enfalâ€™s New Cousin by Palo Alto Unit 42,2,0,0,0,0.0
250,OSINT IOC from ponmocup malware,3,70,1,1,1.0
252,OSINT APT28: A Window into Russiaâ€™s Cyber Espionage Operations? blog post by FireEye,2,1,0,1,0.0
253,OSINT Trend Micro Exposes LURID APT,2,13,1,1,0.0
257,OSINT The Casino Malvertising Campaign by MalwareBytes,3,0,0,0,1.0
258,OSINT Analysis of KRIPTOVOR: Infostealer+Ransomware by FireEye,3,1,0,1,1.0
259,OSINT OrcaRAT - A whale of a tale blog post by PWC,3,21,1,1,1.0
260,OSINT Enterprises Hit by BARTALEX Macro Malware in Recent Spam Outbreak by Trend Micro,3,0,0,0,1.0
262,FBI Flash Message: MC-000055-BT  EC3/IC4 takedown of the AAEH botnet,3,1,0,1,1.0
263,A deeper look into ScanBox TLP:GREEN report from PWC UK,2,20,1,1,0.0
264,OSINT Bookworm Trojan: A Model of Modular Architecture by Palo Alto Unit 42,2,0,0,0,0.0
265,"OSINT Fidelis Threat Advisory #1014 ""Bots, Machines, and the Matrix""",3,14,1,1,1.0
266,OSINT 'Paying-Days' CryptoWall 3.0 Campaign via Magnitude EK report by malwarefor.me,3,28,1,1,1.0
267,OSINT  Threat Spotlight: Spam Served With a Side of Dridex from Cisco Talos,3,8,1,1,1.0
268,OSINT Tracking MiniDionis: CozyCarâ€™s New Ride Is Related to Seaduke by Unit 42 Palo Alto Networks,2,3,1,1,0.0
269,OSINT Analysis of malcious CHM file by OpenDNS,3,2,1,1,1.0
271,OSINT Dalexis/CTB-Locker malspam campaign by SANS Internet Storm Center,3,7,1,1,1.0
272,OSINT The Rotten Tomato Campaign,2,0,0,0,0.0
273,OSINT Introducing HATs: Highly Annoying Threats by BlueCoat,3,0,0,0,1.0
274,OSINT Pay No Attention to the Server Behind the Proxy: Mapping FinFisherâ€™s Continuing Proliferation by Citizen Lab,2,10,1,1,0.0
276,OSINT Korplug military targeted attacks: Afghanistan & Tajikistan blog post from ESET,2,0,0,0,0.0
277,OSINT The Path to Mass-Producing Cyber Attacks by FireEye,2,20,1,1,0.0
278,OSINT Evil Bunny: Suspect #4,2,32,1,1,0.0
279,OSINT New Discovery: Ties Between Corebot and Darknet Crypt Service by Damballa,3,2,1,1,1.0
281,OSINT Democracy in Hong Kong Under Attack blog post from Volexity (Steven Adair),2,19,1,1,0.0
282,OSINT Without a Trace: Fileless Malware Spotted in the Wild by Trend Micro,3,0,0,0,1.0
283,OSINT Darkhotelâ€™s attacks in 2015 by Kaspersky,2,0,0,0,0.0
284,OSINT Cylance SPEAR Team: A Threat Actor Resurfaces from Cylance,3,14,1,1,1.0
286,OSINT Macro documents with XOR Encoded Payloads by PhishMe,3,1,0,1,1.0
287,OSINT APT30 detection rules Loki Scanner Yara rules by Florian Roth,2,0,0,0,0.0
288,OSINT  Analysis of Project Cobra Another extensible framework used by the Uroburosâ€™ actors from Gdata,1,0,0,0,0.0
290,OSINT Additional yara rules for Equation Drug by Florian Roth,1,0,0,0,0.0
291,OSINT Expansion on Snake,1,6,1,1,0.0
293,OSINT New activity of the Blue Termite APT by AlienVault,2,0,0,0,0.0
294,OSINT Who's Really Spreading through the Bright Star? by Securelist / Kaspersky,3,0,0,0,1.0
295,OSINT 20141029B: Possible RedOctober APT Resurgence from ThreatConnect,1,0,0,0,0.0
296,OSINT When ELF.BillGates met Windows by Arkoon+Netasq,3,3,1,1,1.0
297,OSINT Operation Molerats: Middle East Cyber Attacks Using Poison Ivy by Fire Eye,2,6,1,1,0.0
299,OSINT A deeper look into ScanBox TLP:WHITE report from PWC UK,2,10,1,1,0.0
300,OSINT The Shade Encryptor: a Double Threat by Kaspersky,3,0,0,0,1.0
301,OSINT Puttering into the Future...by Cylance,1,3,1,1,0.0
302,"OSINT KeyRaider: iOS Malware Steals Over 225,000 Apple Accounts to Create Free App Utopia by Palo Alto Networks Unit 42",3,1,0,1,1.0
303,OSINT CryptoWall v4 Emerges Days After Cyber Threat Alliance Report by Palo Alto Networks Unit 42,3,2,1,1,1.0
305,OSINT Tibetan Uprising Day Malware Attacks by Citizen Labs,2,3,1,1,0.0
306,OSINT Roaming tiger by Anton Cherepanov from ESET,3,10,1,1,1.0
308,"OSINT Angler EK: More Obfuscation, Fake Extensions, and Other Nonsense by Talos",3,5,1,1,1.0
309,OSINT DTL-12012015-01: Hong Kong SWC attack from Dragon Threat Labs,3,2,1,1,1.0
310,OSINT MSRT February update from Microsoft,3,0,0,0,1.0
312,OSINT Adobe Zero-day Used in LadyBoyle Attack blog post by Symantec,2,0,0,0,0.0
313,OSINT Targeted Attacks against Tibetan and Hong Kong Groups Exploiting CVE-2014-4114 by Citizen Lab,2,0,0,0,0.0
314,OSINT Exploring .XYZ (Another Shady TLD Report) by Blue Coat,3,4,0,1,1.0
315,OSINT Babar: espionage software finally found and put under the microscope by gdata,2,1,0,1,0.0
316,OSINT Neutrino Exploit Kit â€“ One Flash File to Rule Them All by SpiderLabs,3,0,0,0,1.0
317,OSINT Targeted Malware Attacks against NGO Linked to Attacks on Burmese Government Websites by Citizen Labs,2,4,1,1,0.0
318,Additional IPs for Turla/Uroburos from CIRCL Passive SSL,1,36,1,1,0.0
319,OSINT The Sofacy plot thickens by PwC,2,0,0,0,0.0
320,OSINT The Teenage Mutant Malvertiser Network by FireEye,3,6,0,1,1.0
321,OSINT An In-Depth Look at How Pawn Stormâ€™s Java Zero-Day Was Used by Trend Micro,2,4,1,1,0.0
322,OSINT Angler's best friends by SANS ISC Diary,3,36,1,1,1.0
323,Regin Scanner,1,0,0,0,0.0
325,OSINT Banking Trojan DRIDEX Uses Macros for Infection blog post from Trend Micro,3,2,1,1,1.0
326,OSINT Trojanized PuTTY Software by Cisco CSIRT,3,3,1,1,1.0
327,OSINT Threat Actors Use Sketchy Dating Website to Launch New Home Router Attacks by Damballa,1,2,1,1,0.0
328,OSINT Defending the White Elephant by Arbor Networks,2,0,0,0,0.0
329,OSINT Introducing Hi-Zor RAT by Fidelis,1,3,1,1,0.0
330,OSINT Expansion on Rotten Tomato campaign,2,0,0,0,0.0
331,OSINT New 'f0xy' malware is intelligent - employs cunning stealth & trickery from Websense,3,1,0,1,1.0
333,OSINT OSX/Pintsized Backdoor Additional Details by Zataz / Eric Romang,2,0,0,0,0.0
334,OSINT A Peek Inside an Affiliateâ€™s Malspam Operation: Kovter and Miuref/Boaxxe Infections by PhishMe,3,16,1,1,1.0
335,OSINT Shellshock exploitation from Red Sky Weekly blog post,3,19,1,1,1.0
337,OSINT Operation Double Tap from FireEye,2,5,1,1,0.0
338,OSINT Assorted IOCs associated to Andromeda restlesz.su domain,3,0,0,0,1.0
339,OSINT APT Volatile Cedar APT yara rules by Florian Roth,2,0,0,0,0.0
340,OSINT Attacks on East Asia using Google Code for Command and Control by Palo Alto Unit 42,1,8,1,1,0.0
341,OSINT  Evilgrab Delivered by Watering Hole Attack on President of Myanmarâ€™s Website by Palo Alto Unit 42,3,6,1,1,1.0
342,OSINT New Indicators of Compromise for APT Group Nitro Uncovered blog post by Palo Alto Networks,2,2,1,1,0.0
343,Expansion on OSINT Korplug military targeted attacks: Afghanistan & Tajikistan blog post from ESET by using whois registrant,2,0,0,0,0.0
344,Expansion on OSINT Operation Pawn Storm: The Red in SEDNIT from Trend Micro,3,1,0,1,1.0
345,Expansion on MWI by security researcher,2,0,0,0,0.0
346,20150415D: Fareit Malware Targeting Steam Users from ThreatConnect,3,17,1,1,1.0
347,Pivot on other email addresses found by using the same physical address as support-apple-id.com - potential sofacy,1,0,0,0,0.0
349,Turla digging using TotalHash,2,0,0,0,0.0
350,Fessleak before It Was Cool by OpenDNS,3,5,1,1,1.0
351,OSINT  Cheshire Cat,1,0,0,0,0.0
352,Expansion based on shared nameserver with a lot of Sofacy domains,2,0,0,0,0.0
353,Expansion based on pDNS + whois from OSINT Roaming tiger by Anton Cherepanov from ESET,2,21,1,1,0.0
354,Expansion on 596552@qq.com,2,0,0,0,0.0
355,OSINT Infected Korean Website Installs Banking Malware by Cyphort,3,4,1,1,1.0
356,OSINT Backdoor.Win32.Equationdrug.A report by Telus,1,0,0,0,0.0
357,OSINT Enrichment on OSINT - STRONTIUM: A profile of a persistent and motivated adversary,1,28,1,1,0.0
358,"OSINT Cridex, Feodo, Geodo, Dridex, whats next? by abuse.ch",3,9,1,1,1.0
359,OSINT Black Energy 2 malware analysis blog post by Joseph Mlodzianowski,2,20,1,1,0.0
361,OSINT Android.Bankosy: All ears on voice call-based 2FA by Symantec,1,5,1,1,0.0
362,OSINT RTF Exploit Installs Italian RAT: uWarrior by Palo Alto,2,2,1,1,0.0
363,OSINT Expansion on APT-28 - Evolving Threats: dissection of a Cyber-Espionage attack,1,12,1,1,0.0
365,OSINT Emerging Threat Alert - CVE-2014-4114 blog post by Cylance,2,0,0,0,0.0
367,OSINT - Cracking Orcus RAT,3,0,0,0,1.0
368,OSINT EFF Report Operation Manul,2,19,1,1,0.0
369,OSINT New C2 â€“ Neutrino Exploit Kit via pseudoDarkleech HOPTO.ORG gate delivers CrypMic Ransomware by Broad Analysis,3,3,1,1,1.0
370,Malspam 2016-08-16 (.wsf in .zip) - campaign: 'Blank 2',3,7,1,1,1.0
372,OSINT Additional yara rules for detection Project Sauron by Florian Roth,1,0,0,0,0.0
373,OSINT Generic Yara rule to detect PlugX by Jay DiMartino,2,0,0,0,0.0
374,"Malspam 2016-08-17 (.docm) - campaign: ""Order Confirmation-""",3,7,1,1,1.0
375,OSINT - Operation Ghoul: targeted attacks on industrial and engineering organizations,2,1,0,1,0.0
377,OSINT Vawtrak C2 â€“ Pin it by Threat Geek,3,0,0,0,1.0
379,OSINT Rex -Linux P2P Ransom botnet by This Is Security blog,3,0,0,0,1.0
380,OSINT Snakes in the Satellites: On-going Turla Infrastructure by PassiveTotal,2,51,1,1,0.0
381,OSINT TorrentLocker Ransomware Email IoCs 8/16/2016 by neonPrimeTime user on AlienVault OTX,3,54,1,1,1.0
382,OSINT  Aveo Malware Family Targets Japanese Speaking Users by Palo Alto networks Unit 42,3,3,1,1,1.0
383,Pivot on whois registrant 844148030@qq.com,3,0,0,0,1.0
384,OSINT Shark Ransomware: Ransomware as a service,3,0,0,0,1.0
385,OSINT Shakti Trojan: Document Thief  by Malwarebytes,3,0,0,0,1.0
386,Pivot on Shakti domains via PassiveTotal,3,0,0,0,1.0
387,"Malspam 2016-08-18 (.wsf in .zip) - campaign: ""Emailing: Label""",3,6,1,1,1.0
388,OSINT Bad News Bears - Panda Banker Starts Looking More Like a Grizzly by ProofPoint,3,0,0,0,1.0
389,OSINT Android Marcher: Continuously Evolving Mobile Malware by Zscaler,3,0,0,0,1.0
390,OSINT Domains and IPs involved in JS ransomware delivered through email by burberry on AlienVault OTX,3,1,0,1,1.0
